document,summary
"b'chinese archaeologists have found remains of a UNK workshop dating back #,### years in an historical city in central china .'","b'#,###-year-old mint found in central china'"
"b""sony corp. 's sony electronics division unveiled its first two notebook computers , expanding its foray into the personal computer market .""",b'sony expands its fledgling pc line with two new notebooks'
"b""michael howard , the conservative party leader , said tuesday he does n't plan to make abortion a campaign issue , even though the catholic church has praised his call for a reduction of the legal time limit for abortions in britain .""",b'catholic archbishop praises british conservative leader for calling for new time limit on abortions'
"b'swedes on tuesday mourned internationally acclaimed filmmaker ingmar bergman , praising the artistic mastery that had not always been appreciated in his homeland .'",b'sweden mourns film director ingmar bergman'
"b""taiwan 's shares reversed early gains and ended thursday at a fresh low since last october amid weak confidence about a possible war in iraq .""",b'taiwan stocks close down #.## percent'
"b""in the early years of this century , henry ford had a notion that he could sell the same car everywhere in the world , and he was right : some ## million model t 's _ built at plants in north and south america , europe and japan _ were sold worldwide during that seminal model 's ##-year run .""",b'the world car wears new faces'
b'the royal bank of canada -lrb- rbc -rrb- said thursday that it has reached an agreement to settle the lawsuit brought by enron corp. against the bank and a number of other financial institutions .',"b""canada 's largest bank has agreement to settle enron lawsuit"""
"b""leaders of the world 's industrialised powers warned wednesday that the global economy remains in danger and backed away from pledges on global warming as they started their annual summit .""",b'g# spies economic danger signs as summit begins'
"b'jacques villeneuve and heinz-harald frentzen would continue williams formula one team for the #### season , the team confirmed on monday .'",b'williams has no change in their driver line-up'
"b'melbourne , australia _ defending champion andre agassi and top-ranked andy roddick , who could meet in the semifinals , were in top form as they rushed through straight-set victories in second-round matches wednesday at the australian open .'",b'roddick agassi breeze into third round'
"b'most days , the traders and floor brokers taking smoking breaks outside the new york stock exchange are a cocky bunch , given to wisecracks and fast talk .'","b""nyse 's electronic future worries traders"""
"b'the rev. jesse jackson praised and inspired a group of female jail inmates in san francisco , telling the women that `` each of you must decide in your jail cell someday that you do not belong here .'",b'jackson addresses female inmates in treatment program'
"b""britain 's minister of state for foreign and commonwealth affairs will arrive in the emirates this week at the start of a gulf tour meant to strengthen ties in the region , the british embassy said wednesday .""",b'british minister to visit gulf'
b'a u.s. navy helicopter carrying six people crashed thursday morning in the gulf of mexico .',b'u.s. navy helicopter crashes'
"b""construction of the yangcheng power plant , targeted at supplying power to energy-poor jiangsu province in east china , will begin soon in north china 's shanxi province .""",b'shanxi to supply jiangsu with more power'
"b""italy and new york 's metropolitan museum of art signed a deal here tuesday on the return of disputed antiquities which culture minister rocco buttiglione said opened a `` new phase '' in cooperation between the two .""",b'italy signs deal with met museum over stolen art'
b'a longtime newspaper reporter says he was unjustly fired after writing a personal e-mail to gay marriage supporters rebuking their tactics .',b'us reporter fights firing over gay marriage note'
"b""the chinese ministry of commerce predicted in its latest report that the retail volume of china 's social consumer goods this year will grow around ##.# percent .""",b'retail volume of social consumer goods to increase ##.# pct this year'
"b""us president george w. bush signed legislation tuesday that gives him the power to negotiate new trade deals and limits congress 's ability to intervene .""",b'bush gains new powers to negotiate trade deals'
"b'long-term family troubles and UNK problems constitute most common underlying factors for student suicides in hong kong , according to an investigative report presented by the education department .'",b'UNK family troubles major factor for hk student suicides'
"b'the leaders of the common market for eastern and southern africa -lrb- comesa -rrb- member states have called for a return to democracy in madagascar , warning military intervention could be the option to restore peace in the island nation of about ## million people .'",b'comesa leaders rally behind ravalomanana'
"b'the latest sample examination has indicated the quality of water has become normal at some places of the UNK UNK and UNK rivers in western guangdong province , south china .'",b'water quality becomes normal at UNK rivers in s. china'
"b'despite a slow start , chinese top one li na still eased past russian elena vesnina on a breezy evening with clear skies .'",b'chinese top one li na wins easily at china open'
b'the united states said on friday that it is ready to help saudi arabia fight any threats from al-qaida if it receives request from the gulf country .',b'u.s. says to help saudi arabia fight terror threat if requested'
"b'defense secretary william cohen , using unusually blunt language in an UNK speech wednesday , questioned whether russia under vladimir putin will complete its transition to democracy or `` revert to the past .'","b""cohen questions russia 's democracy"""
"b""nestling in the swiss alps , romania 's base for the european championship is a perfect modern-day fortress for the team .""",b'romania team hiding from all and providing few clues in fortress hotel in swiss alps'
"b'kazakh defense minister mukhtar altynbayev told his chinese counterpart , chi haotian , today that the two countries share a long and peaceful border .'",b'kazakhstan china stress importance of peaceful border'
"b'a former state security official was shot and killed in western mexico , state police said tuesday .'",b'local official fatally shot in western mexico'
"b""bahamas ' christopher brown stormed to the semifinals of the men 's ### meters at the olympic games , which kicked off its track and field competitions here on friday .""","b""bahamas brown fastest in men 's ###m first round"""
"b'a letter to sen. patrick leahy was laced with billions of anthrax spores , authorities said , as a suspected case of the most deadly form of the disease mysteriously appeared in connecticut .'",b'letter to senator had billions of anthrax spores ; suspected case'
b'european union defense ministers pledged manpower and weapons monday for a new rapid reaction corps to use in humanitarian and peacekeeping missions where nato chooses not to become involved .',b'eu to begin building defense force'
"b""the effort to overhaul the nation 's welfare system moved forward wednesday as two house committees finished work on legislation that would give more authority to the states and scale back benefits for poor families .""",b'two house panels finish work on welfare reform measures'
"b""a magnitude-# .# earthquake struck the san francisco bay area , rattling residents ' nerves but causing no major damage or injuries .""",b'#.# earthquake hits san francisco ; no major damage or injuries reported'
"b""myriad ultrasound systems ltd. 's next generation bone scanner was deemed safe and effective by the expert government panel reviewing the device .""",b'myriad ultrasound bone device gets fda panel recommendation'
"b""british prime minister tony blair on monday told his cabinet ministers that there was `` no doubt '' iraqi leader saddam hussein had an ongoing program to build weapons of mass destruction -lrb- wmd -rrb- and that must be stopped .""",b'blair says saddam must be stopped'
"b""america is encouraging dialogue with algeria while france continues to support repression there , a leading representative of algeria 's islamic salvation front -lrb- fis -rrb- said in a newspaper on monday .""",b'fis praises us slams france'
"b'UNK , the sugar cane liquor used in the popular UNK cocktail , is about as brazilian as apple pie is american .'",b'brazil decrees UNK the national beverage'
"b""intellectuals from all walks of life are responding to chinese president hu jintao 's call for them to participate in building a harmonious society .""","b""intellectuals respond to president hu 's call to participate in building of harmonious society"""
"b""democratic senatorial nominee victor morales brought a lesson to his high school homecoming friday _ `` do n't wimp out .""",b'morales tells his former students that they too could run for'
"b""president bush has tapped karen hughes -- his devoted public relations adviser -- to transform america 's negative image in the arab world .""",b'hughes will try to change u.s. global image'
"b'the economy minister , domingo cavallo , has announced that he will annul more than $ # billion in tax cuts for businesses in an effort to cut the budget deficit next year and persuade the international monetary fund to release $ #.# billion in loans before the end of the month .'",b'argentina takes steps to reduce budget deficit'
"b'on the eve of the long-delayed israeli pullout from most of hebron , soldiers dismantled military bases in the west bank city on thursday and loaded up dozens of trucks with boxes and equipment .'",b'precede tel aviv israeli troops dismantle bases in hebron'
"b'three government food inspectors were shot to death wednesday as they visited a sausage factory in northern california , according to reports here .'",b'three food inspectors shot dead in factory'
"b'the widow of a ##-year-old man , who was gunned down when chasing a bank robber , has received ###,### cypriot pounds -lrb- about ###,### u.s. dollars -rrb- from the government in recognition of his valor .'",b'cyprus rewards widow of man killed in preventing robbery'
"b""la scala 's personnel will go on its second strike in a week on saturday , forcing the famous milan opera house to cancel two shows , union officials said , sparking concerns about its next season .""",b'new strike at la scala opera house'
"b'numerous post office staff are facing criminal charges or are in jail after more than #.# million rand -lrb- ###,### u.s. dollar -rrb- worth of mail and packages were stolen or defrauded in the last ## months , the sunday times newspaper reported today .'",b's. african post office to punish staff thieves'
"b""jacques rogge , president of the international olympic committee -lrb- ioc -rrb- , defended china 's sports system which led to its medal haul at the beijing games , saying all systems are legitimate as long as they respect ethical values and the athletes .""","b""ioc chief says no problem with china 's sports system"""
b'the u.s. dollar was mixed against other major currencies in european trading monday morning .',b'u.s. dollar mixed gold up'
"b'the volume of retail sales in brazil was UNK .# percent in the first seven months of #### compared to the same period last year , the brazilian institute of geography and statistics -lrb- ibge -rrb- announced on tuesday .'",b'retail sales in brazil up ##.# percent in ####'
"b""yugoslavia 's new president has demanded that nato live up to its commitment to stop violence that has spilled from kosovo into southern serbia , leaving at least five people dead .""",b'kostunica wants nato to end clashes'
"b""zoran filipovic was named as montenegro 's first soccer coach on friday .""",b'UNK named as montenegro s first soccer coach'
"b'arsene wenger , who will coach in his first champions league final in paris on wednesday , has said he would prefer to stay with arsenal until the end of his managerial career .'",b'wenger staying at arsenal'
"b""south china 's guangdong province will hold a high-tech fair from august # to # at the hong kong exhibition center , a local foreign trade official announced here today .""",b'south china province seeking for more overseas investment'
"b'a u.s. financier has donated dlrs #.# million in humanitarian aid to bulgaria which is plagued by basic staple deficits and dire poverty , the state news agency bta announced tuesday .'",b'u.s. financier donates dlrs #.# million to bulgaria'
"b'incentive ab , a swedish holding company , said its stake in gambro ab , a medical equipment company , has risen to more than ## percent .'",b'incentive secures more than ## percent of gambro in takover bid'
"b'guerrilla leaders began talks with local government leaders in this southern city thursday in an attempt to drum up popular support for moslem self-rule in the troubled southern philippines , sources said .'",b'rebel leader in talks with officials on moslem autonomy'
"b""the nasa shuttle crew prepared to journey to russia 's mir space station this week is the most culturally diverse collection of individuals ever assembled in a single spacecraft .""",b'atlantis crew culturally diverse'
"b'austrian airlines pilots and flight attendants went on strike for nearly four hours friday , causing delays but few cancellations .'",b'austrian airlines pilots flight attendants strike'
"b'elder statesman lee kuan yew and his son sought a record ###,### singapore dollars -lrb- dlrs ###,### -rrb- in libel damages thursday from a u.s.-owned newspaper for alleging nepotism in the singapore government .'",b'here is a summary of late news from the associated press'
"b'zions bancorporation is expected to win the backing of u.s. regulators this month to use a new system to underwrite municipal revenue bonds , opening a door for banks to expand their entry into new financial markets .'",b'zions close to becoming first to use new bank subsidiary power'
b'the detroit tigers have been one of the best after starting off as the worst .',b'tigers bounce back from awful start'
b'the dire state of the economy will not keep young hollywood away from new york fashion week .',b'young hollywood hits fashion week amid tough times'
b'a spaniard who acts as a delegate overseas for north korea said thursday he did not believe reports that a communist party meeting next week will pave the way to a transfer of power from leader kim jong-il to his son .',b'n. korean foreign delegate dismisses succession reports'
"b""john stockton tied john havlicek 's nba record for most games played with one team , scoring ## points with ## assists in his #,### th game for utah as the jazz beat the new jersey nets ##-## friday night .""",b'jazz ## nets ##'
b'prime minister john howard said sunday he would not change the law to allow two australian terror suspects being held by u.s. forces to be sent home for trial .',"b""prime minister rules out changing law to allow australia 's guantanamo terror suspects to be tried at home"""
"b'representatives from india , brazil and south africa -lrb- ibsa -rrb- on thursday signed two agreements on scientific cooperation , in brazilian capital brasilia .'",b'ibsa countries sign agreements on scientific areas'
b'top seed kenneth jonassen of denmark suffered a dramatic defeat of the battling boonsak ponsana of thailand in the semifinal of the six-star indonesia open badminton tournament here saturday .',b'thai shuttler ponsana upsets kenneth jonassen in indonesia open'
b'mayors smarting from what they contend was a census undercount in #### that cost cities at least $ ### million over the past decade are determined to ensure a more accurate tally this year .',b'cities press for precise census'
"b""president barack obama said sunday the united states and russia would have a replacement treaty on reducing nuclear arms ready for approval by year 's end , an announcement designed as an upbeat ending to a summit with asia-pacific leaders .""",b'in asia obama medvedev see nuke pact progress'
"b""it is a sad reflection of the state of the presidential campaign that bob dole , a man not known for telegenic brilliance , is counting on a sparkling performance in sunday 's debate to revive his fortunes .""",b'economic professors pass clinton flunk dole'
"b'share prices on the jakarta stock exchange ended higher monday with the composite index up #.## points to close at #,###.# points .'",b'jakarta stocks close higher'
"b""greece goalkeeper antonis nikopolidis will retire from international football after wednesday 's game with spain -- following the defending champion 's elimination from the european championship .""",b'greece s nikopolidis UNK announce retirement after euro #### elimination'
"b'raytheon co. says financing delays and stiffer competition in its commercial units contributed to a decline in fourth-quarter profits , closing the books on a year in which the lexington , mass. company dramatically expanded its defense business .'",b'raytheon profits dip in fourth quarter'
"b""defense minister serzh sarkisian was named armenia 's prime minister wednesday , the presidential press service said , filling the post that was vacated last month after andranik margarian died .""",b'armenian president names defense chief as new prime minister'
"b""democratic fund-raiser yah lin trie pleaded not guilty thursday in federal court to criminal charges that he funneled hundreds of thousands of dollars in illegal contributions to the democratic party during president clinton 's re-election campaign .""",b'clinton friend pleads not guilty to improper campaign gifts'
"b""a u.s. appeals court on monday rejected house democrats ' demands to force two of president george w. bush 's top aides to cooperate with an investigation about the firings of nine federal prosecutors in #### .""",b'bush aides win delay for congressional testimony'
b'foreign ministers from eight countries of the south asian association for regional cooperation -lrb- saarc -rrb- made final preparations on thursday for member leaders to discuss at the upcoming ##th saarc summit .',b'saarc fms agree on issues for summit leaders to consider'
"b""sony bmg music entertainment will pay $ #.# million -lrb- euro# .## million -rrb- and kick in thousands more in customer refunds to settle lawsuits brought by california and texas over music cds that installed a hidden anti-piracy program on consumers ' computers .""",b'sony bmg to pay $ #.# million to settle suits over hidden program'
b'united nations secretary - general kofi annan on thursday called on the perpetrators of the hostage crisis in moscow to release all the hostages immediately and without preconditions .',b'perpetrators urged to release all hostages in moscow theater'
"b""pope benedict xvi on friday warned against using god 's name as a justification for attacks against the west .""","b""pope warns against exploiting god 's name"""
"b'titleholders ac milan swept into the second round of the champions league on wednesday , joined by four other teams that also reached the second stage : manchester united , stuttgart , porto and chelsea .'",b'ac milan man united stuttgart porto chelsea reach second round'
"b'the plo is to convene in the tunisian capital from wednesday to review the peace process with israel and disputes with other factions , palestinian officials said monday .'",b'plo to meet in tunis on peace process'
"b'a total of ## suspected illegal inns have been shutdown here by inspectors dispatched by the government of macao special administrative region -lrb- sar -rrb- , the macao post daily reported monday .'",b'macao shuts down ## illegal inns'
"b""pakistan sought to put some of the pressure over the mumbai bloodshed on india , demanding that its neighbor hand over `` concrete evidence '' against pakistani citizens and groups allegedly involved in the terror attack .""",b'pakistan demands india provide mumbai evidence'
"b""sri lanka 's separate tamil tiger rebels have reiterated their previously set conditions for peace talks with the government following latest british office minister peter hain 's effort to push the peace process last week .""","b""sri lanka 's tiger rebels reiterate previous conditions for peace talks"""
"b'reserves to get vitally needed relief supplies to earthquake victims are dwindling dangerously low as winter closes in and donations only trickle , officials said .'",b'u.n. agencies say donations for quake victims lagging as winter closes in'
"b""russia 's foreign minister sergey lavrov on monday urged iran to cooperate with the united nations ' nuclear watchdog to end the crisis over its nuclear program , and warned that international sanctions would n't solve the standoff .""",b'russia urges iran to cooperate with u.n. watchdog warns against sanctions'
"b'authorities are accusing the owner of a new york city art gallery of stealing $ ## million from investors , art owners and a bank .'",b'nyc prosecutor says art gallery stole $ ## million'
"b'trying to unblock obstacles to a cease-fire in the congo war , president thabo mbeki was on sunday hosting a meeting with the leaders of uganda and rwanda which back rebels fighting to overthrow congo president laurent kabila .'",b'mbeki tries to sort out congo rebel rivalry'
b'pernod ricard sa said thursday that demand for martell cognac in china and chivas regal scotch in latin america helped lift full-year net profit by # percent .',b'chinese demand helps lift pernod ricard profits'
"b""italy 's press hailed the high turnout recorded so far in close-fought general elections as `` judgement day '' dawned monday for conservative prime minister silvio berlusconi .""",b'on judgement day italian press hails high turnout in polls'
"b""as jubilant democrats prepared for president barack obama to sign their landmark health care legislation in a ceremony at the white house , republicans opened a campaign on monday to repeal the legislation and to use it as a weapon in this year 's hotly contested midterm elections .""",b'health vote is done but partisan debate rages on'
"b'does a populist appeal have resonance in prosperous times ? in his acceptance speech at the democratic convention , al gore defined the difference between republicans and democrats in strict populist terms .'",b'the populist al gore'
"b'salim zanoun , acting speaker of the palestine national council , today criticized israel for making continuous difficulties for pnc members to enter palestinian territories , reported israel radio today .'",b'UNK accuses israel of obstacles on pnc members entry'
b'prime minister tansu ciller on tuesday invited greece to a comprehensive dialogue for the solution of disputes with turkey .',b'turkish premier ciller offers broad dialogue to greece'
b'auto parts maker robert bosch gmbh said monday that it is forming a joint venture with samsung sdi co. .',b'germany s bosch south korea s samsung launch hybrid battery joint venture'
b'following are some of the major international news stories scheduled to be covered or pursued by xinhua on thursday .',b'xinhua international news advisory oct. ##'
"b""following is the medal table from tuesday 's ##st asian cycling championships in taipei , taiwan .""",b'asian cycling championship medal table'
"b'the ontario police and former premier were racially insensitive and too impatient in dealing with a demonstration over land claims that led to the shooting death of a canadian native protester , according to a public inquiry released thursday .'",b'probe says government and police responsible for death of native protester'
"b""the u.s. dollar was traded at nt$ ##.### at ##:## a.m. thursday on the taipei foreign exchange , down nt$ #.### from wednesday 's close .""",b'u.s. dollar down in early taipei trading'
"b'odd , really : governments instruct the united nations to do a certain job , fail to give it the money needed , and yet conclude that it is the u.n. that is at fault , not themselves .'",b'down-and-out at the united nations'
"b'chinese authorities are demolishing an area in the northwestern city of urumqi , home to migrants they blame for disrupting social order , state media said sunday , a year after deadly ethnic riots .'",b'china demolishes urumqi flashpoint area'
"b""the standing committee of vietnam 's national assembly -lrb- na -rrb- friday approved major personnel changes in the government , as proposed by prime minister phan van khai , the official news agency vna reported .""",b'personnel changes in vietnamese government'
"b""parma midfielder macdonald mariga has been ruled out of kenya 's world cup qualifier against tunisia .""","b""UNK out of kenya 's world cup qualifier against tunisia"""
"b""nepal 's parliament , reinstated after being shut for four years , was to meet tuesday for a third session since the king backed down and as political leaders finalized a new cabinet , officials said .""","b""nepal 's parliament to meet amid wrangling for top cabinet jobs"""
"b""despite the global credit crisis , the collective wealth of britain 's #,### richest people increased by almost ## percent last year , to ### billion pounds -lrb- us$ ### billion ; euro### billion -rrb- , according to a list published by the sunday times newspaper .""",b'britain s rich get richer despite credit crunch ; steel tycoon mittal country s wealthiest man'
b'jo-wilfried tsonga has a victory dance he reserves for the australian open .',b'UNK tsonga into aust'
"b""nokia , the world 's leading mobile phone manufacturer , reported thursday a first-quarter net profit of ### million euros -lrb- ### million dollars -rrb- , down from #.### billion euros in the corresponding period a year earlier .""",b'nokia profits down in first quarter'
b'peruvian president alberto fujimori and his ecuadoran counterpart jamil mahuad praised a recent agreement to disengage troops of the two countries for its role in avoiding border armed conflicts .',b'peru ecuador hail troops disengagement agreement'
b'the newly-established hong kong soccer team will take on the dutch first division side of psv eindhoven in the nike challenge cup set for friday in hong kong .',b'hk soccer team to play psv eindhoven'
"b""african union mediators battled to breathe life into darfur 's peace talks on sunday after the sudanese government belatedly agreed to call off an offensive against rebel positions in the western region .""",b'african union struggles to save darfur talks as sudan halts offensive'
b'the u.s. department of energy wednesday ordered the permanent shutdown of the fast flux test facility on the hanford nuclear reservation in eastern washington -- scuttling a five-year campaign aimed at using the experimental reactor to make medical isotopes .',b'hanford reactor shut down for good'
"b'a chinese oil company has signed a production-sharing contract with state-owned myanma oil and gas enterprise for onshore oil and gas exploration in neighboring myanmar , a diplomat said .'",b'chinese company to conduct onshore oil gas exploration in myanmar'
"b""a us plan to provide military assistance to bosnia 's moslem-croat federation ended in failure friday , winning almost no additional financial backing from islamic and european countries at a conference here friday .""",b'us fails to win finance for military aid to bosnia'
"b'the bank of thailand -lrb- bot -rrb- forecasted that local interest rates would drop further this year as actual deposit rates could offer negative returns given higher inflation rates , the thai news agency reported friday .'",b'thai central bank sees further drop of local interest rates'
"b'the bush administration has shelved plans to set up a diplomatic outpost in iran in part over fears it could affect the u.s. presidential race or be interpreted as political meddling , the associated press has learned .'",b'us drops plan to put diplomats in iran'
"b""the south african rand was off the day 's best levels in late afternoon trade on thursday after offshore funds took advantage of a slight strengthening in the local unit , which came in the wake of disappointing us data , to buy dollars .""",b's. african rand range bound in quiet market'
"b'sixteen europeans being held in chad after a charity tried to fly more than ### children from the central african nation to france may face charges , a chadian minister said saturday .'",b'## europeans held in chad over darfur adoptions'
"b'sunset boulevard is a thoroughfare like no other -- where paupers become princes overnight , where a street corner may be a steppingstone to the stars .'",b': seductive sunset boulevard makes stars breaks hearts'
"b""just a few years ago moscow seemed a natural venue for this week 's annual international pen congress , an event that has drawn writers from around the world pledged to fight the good fight for freedom of expression .""",b'war in chechnya roils writers conference in moscow'
"b'officials from the german gas industry have reached an agreement that would allow for greater competition in the household gas market , the parties said here monday .'",b'german gas industry officials reach liberalization accord'
"b'american car maker general motors -lrb- gm -rrb- has shortened the work week at its engine and transmission plant in hungary due to falling orders , a gm spokeswoman said friday .'",b'general motors shortens work week in hungary due to crisis'
b'the trial of deposed iraqi dictator saddam hussein on charges of crimes against humanity over a shiite massacre two decades ago resumed tuesday with all eight defendants present .',b'saddam trial resumes with all eight accused'
b'genetics institute inc. shares rose as much as #.# percent as the company plans to seek early government approval of a drug it claims reduces the need for UNK transfusions by chemotherapy patients .',b'genetics institute shares rise on prospects for UNK drug'
"b""from johannesburg townships to ghana 's sprawling slums , millions of africans danced in the streets and beamed with pride as the continent 's first world cup kicked off .""",b'people across africa celebrate start of world cup'
"b'thai share prices closed #.## percent higher thursday as foreign investors bought into index-heavyweight companies , dealers said .'",b'thai share prices close #.## percent higher'
"b'german media company bertelsmann ag said tuesday it will sell its book and music clubs in several regions , including some countries in europe and australia .'",b'bertelsmann to sell more direct group holdings including europe russia and australia'
"b""major league baseball 's disciplinary officials suspended chicago white sox manager ozzie guillen two more games on thursday and fined him an undisclosed amount .""",b'chicago manager guillen suspended two more games'
b'mayor rudolph giuliani continues to significantly outpace hillary rodham clinton in money-raising for their u.s. senate race .',b'giuliani significantly outpaces clinton in fund-raising'
"b'powerful thunderstorms with possible tornadoes and heavy rain raced across parts of the south early wednesday , injuring at least ## people in mississippi and arkansas .'",b'tornado high winds cause damage and injuries in parts of the south'
"b'indonesian share prices closed marginally higher on monday , led by second-liners amid a lack of fresh leads , dealers said .'",b'jakarta shares close marginally higher'
"b'the alliance between barry bonds and alex rodriguez was forged through shared experiences -- home run trots , front-page controversies and lots and lots of booing .'",b'bonds hits no. ### and rodriguez is there to cheer'
"b'malaysian share prices closed #.# percent higher friday to hit a fresh record high with investors increasingly convinced there will be an interest rate cut in the us , dealers said .'",b'malaysian shares close #.# percent higher amid lower rates'
b'hundreds of UNK buddhist monks arrived in muslim-dominated southern thailand on wednesday at the start of buddhist lent in the hope their presence will promote peace in the insurgency-wracked region .',b'hundreds of buddhist monks to spend buddhist lent in UNK southern thailand'
"b""a film on the nanjing massacre , in which some ###,### chinese people were slaughtered by the japanese army more than ## years ago in this capital of east china 's jiangsu province , premiered saturday at the massacre memorial .""",b'film on nanjing massacre premieres'
"b'the dollar rose against the euro thursday ahead of a speech by us federal reserve chairman ben bernanke and the release of crucial economic data , dealers said .'",b'dollar climbs against euro before bernanke speech'
"b""about ### kilograms of fine quality hashish was recovered thursday in sukkur , pakistan 's southern sindh province , and two suspects were arrested by local police , according to the associated press of pakistan .""",b'pakistani police seize ### kg hashish'
"b'the battle of the beltway offered ### plays , but the game was determined by the battles on two critical ones .'",b'# plays decide for redskins as immovable objects meet'
"b'about ### leading chinese buddhists saturday night gathered to celebrate mid-autumn festival , which falls on september ## .'",b'buddhists gather to observe moon festival'
"b""after initially being UNK , the head of at&amp;t inc. 's wireless arm has taken a liking to google inc. 's project to create a new operating system for cell phones .""",b'at &amp; t mobility chief warms to google s android cell-phone software'
"b'un secretary-general kofi annan met on thursday morning with paul volcker , chief of the committee in charge of investigating claims of fraud in the un oil - for-food program , to respond to findings about him in an upcoming comprehensive report .'",b'annan meets with chief of oil-for-food probe'
"b""prosecutors probing the sprawling parmalat scandal seized documents wednesday as they investigated a suspected scheme involving double invoicing , a judicial source said , and the wife of the company 's former top financial official was put under house arrest in parma for suspected money laundering .""",b'prosecutors in parmalat case seize documents in suspected invoice fraud scheme'
"b""many rejoiced and some fretted uneasily at hong kong 's grandiose handover ceremony which marked not only china 's resurgence as a power but the end of the age of empire .""",b'for hong kong and the world a new era of union'
"b""the number of russians who trust president boris yeltsin has fallen sharply in recent months while he 's been undergoing treatment for heart problems , according to a poll published wednesday .""",b'poll shows trust in yeltsin has fallen sharply'
"b'major league baseball owners rejected a labor deal with players here wednesday , extending a squabble that wiped out the #### world series , shrank the #### season and threatens play in #### .'",b'owners reject labor compromise'
"b""britain 's financial services authority on tuesday said it was launching a formal probe into wall street giant goldman sachs after us fraud charges were filed against the bank last week .""",b'british financial watchdog launches goldman sachs probe'
"b'norway will implement a two-year program that favors recruiting immigrants in government departments in an effort to lower the unemployment rate to that of norwegians , the government announced thursday .'",b'norway unveils scheme to favor immigrants in state workforce'
"b""bringing a swift conclusion to a two-day-old strike that had begun to inconvenience telephone customers from maine to virginia , bell atlantic employees returned to work tuesday after reaching a tentative agreement with management that insures that jobs in the company 's high-technology growth areas will go to union employees .""",b'bell atlantic strike ends after tentative pact'
"b'police in the west bank town of ramallah opened fire sunday on a driver who refused to stop to show his documents , touching off an impromptu protest by dozens of outraged residents , witnesses said .'",b'palestinian police on law and order campaign shoot driver for not stopping for inspection'
"b'argentina bounced back from a dismal loss to spain , crushing china and yao ming ##-## thursday in a group a match .'",b'argentina crushes china and yao ##-##'
"b""norfolk southern corp. should create a voting trust that would try to repeal conrail inc. 's anti-takeover defenses , clearing the way for norfolk southern 's $ ##.## billion hostile bid for the philadelphia-based railroad , a conrail shareholder said .""",b'conrail holder wants norfolk southern voting trust on conrail'
b'UNK UNK is a ##-year-old polish pensioner who will forever remain a child of auschwitz .',b'children of auschwitz recall liberation ## years on'
b'wall street fired on all cylinders wednesday as the market was ignited by surprisingly strong results from tech giant intel and an improved federal reserve outlook .',b'wall street surges on intel earnings fed outlook'
"b""illinois power co. 's clinton , illinois plant was placed on the nuclear regulatory commission 's `` watch list '' of poorly managed nuclear power plants .""","b""illinois power 's clinton plant added to nrc watch list"""
"b'om , the owner of the stockholm stock exchange , said tuesday it was making a bid for the helsinki bourse -lrb- hex -rrb- with a view to merging both markets .'",b'stockholm exchange makes merger bid for helsinki bourse'
b'kim clijsters beat petra kvitova and hurricane earl with a quick victory before rain briefly suspended play at the u.s. open .',b'clijsters wins before rain delay at us open'
"b'a rider and two other people died friday in an accident in a mountain section of a senior tt motorcyle race on the isle of man , organisers said .'",b'three killed in isle of man tt motorcycle race'
"b'jennifer rosales of the philippines captured her first lpga tour title here sunday , firing a seven-under par ## to overcome a four-stroke deficit and win the #.# million-dollar chick-fil-a championship .'",b'philippines rosales claims first lpga title'
"b'the tom cat winery UNK in the wooded hills of the napa valley , just down the road from the sprawling california vineyards of UNK and robert mondavi .'",b'a house wine from the cellar beneath you'
"b""ukraine 's prime minister yulia tymoshenko -- apparently defeated by a narrow margin in last week 's presidential vote -- ended six days of silence by saying the election had been rigged and she would challenge the result in court .""",b'tymoshenko says ukraine vote was rigged'
"b'shares were higher across the asia-pacific region after the united states launched attacks on iraq early thursday , with traders betting the war will end quickly .'",b'asian markets higher after u.s. launches attacks on iraq'
"b'the zhang UNK foundation , named for an ophthalmologist and professor , has been established at anhui medical university in anhui province .'",b'new medical foundation set up in east china'
"b""the camera in `` the diving bell and the butterfly '' is n't merely a camera .""",b'a butterfly with clear vision'
"b""this week 's arrest of a doctor and two nurses who stayed through hurricane katrina to care for stranded hospital patients - but are now accused of killing four of them -- has prompted a strong backlash in the medical and legal communities here .""",b'medical community responds to accusations'
"b'a u.s. army oh-## helicopter made an emergency landing in north korea on saturday , but u.s. officials said they had no confirmation of reports out of north korea that the aircraft had been shot down .'",b'north korea reports shooting down enemy helicopter'
b'a court on friday ordered city authorities to dole out insecticides free of cost to residents here as the toll from an epidemic of dengue fever raging in the indian capital rose to ### .',b'court orders anti-epidemic steps as dengue kills ### in delhi'
"b""a human tidal wave is expected to overwhelm washington during barack obama 's presidential inauguration next month , swelling the city 's population to as much as four times its normal size , said officials scrambling to deal with the onslaught .""",b'washington braces for inauguration tidal wave'
"b""this solemn city friday made final preparations for a state funeral and private burial on saturday for mother teresa , an albanian-born naturalized citizen of india who will be accorded the same martial honors reserved in the past for such national heroes as founding father mohandas k. gandhi and jawaharlal nehru , the country 's first prime minister .""",b'tearful calcutta world bid farewell to mother teresa'
b'share prices on the london stock exchange were up at midday friday .',b'stock prices rise in london'
"b'michael dukakis lost his bid for president in #### , but he can declare victory in his latest campaign .'",b'dukakis wins campaign against illegal parking'
