summary,text
blu meant,great film blu ray awesome great film sound tons extra give great couple hours enjoyment
anyone making film see original terminator,movie totally sucks felt like watching transformers stupid movie arnold linda people making movie ever see 1984 original terminator movie think cmon terminator motorcycles water creatures interesting part movie truely unique kind terminator interesting concept whole idea could better developedtotal waste time money skip costs terminator fan like cheap scifi flicks andor transformers right alley give star cannot give zero
beating dead horse,stopped cash cow always milked death loved first went downhill kyle reese said first terminators rubber skin easy spot one never even seen terminator skin rubber realthere many plot holes really bad cheesiness like heart cannot take please take mine like action dark hard see big explosions added mix plot characters give rats ass movie
zero stars want refund,movie gets one star cannot give less transformers shakespeare terms writing compared crap written edited year old mean mentality think viewers previous enjoyable movies expect lot expect lot insult intelligence kept simpleif figured first minutes moment see michael ironside clear idea movie sucks simple thatthe writing beyond poor shocked positively reviewed people see different movie movie everyone yells people stupidest things make zero sense propel action sequence ludicrous plot device every cliche could ever groan crammed every conceivable opportunity big monster robots come soundtrack war worlds complete people collection cages strangers immediately give precious food cute kid said stranger comes takes gun tell anything means immediately take get vehicle chance happen turn radio well first song come something pecial finally forget ask leader dialogue know anything live treacherous timesi kept leaning asking really dumb yes really dumb waste
rent,mad max guy named max got see stuff life world lives least came like respect maybe even admire wife kid get brutally murdered random act violence like see read papers every daythe people responsible terminator salvation appear understand maybe someone tell themit less film action figureswere action figures know 711 cups doubt sold many positive 5story tall terminator machines could sneak people middle arid wasteland
talkin,first absolutely loved 1st movie kind liked 2nd despised 3rd actually care people gave movie bad reviews someone tell thought terminator salvation darkwell yeah type movie meant bepostapocalyptic future hungry see ever since reese flashbacks 1st movie glad another excuse show cute smartmouthed kid actor etc one gritty really something happen dig scifi moviessometimes reviews justice see decide whether like pepsi ads guns roses dark moody thriller guns roses
finally terminator setting waiting,terminator saga one recognizable sciencefiction film lore good reason idea timeline manipulation impending machine rebellion cemented franchise hearts moviegoers two decades fourth installment finally allows partake story glimpsed actual postapocolyptic battle man machines movie screams epic start finish intense action special effects ever seen story awesome really pays lot homage previous films semipersonal note wish story remained little focused conner little less marcus conner main protagonist 2nd4th films seemed like marcus really character spent extensive time building tell writers assumed viewer already knew john connor well attention seemed split huge gripe means still great job overall fantastic actionscifi movie fine addition terminatore cannon hope continue sage wait see
part fallout part transformers part road warrior terminator salvation going,guess one movies people either love hate first hated pretty much every movie mcg ever directed til calling going shame people ripping movie apart think director anything sort like paul anderson made great sci flick event horizon like mcg gets tons hate people piss movie well resultterminator salvation ground breaking greatest action sci movie ever made good original open series whole new dimension taking future something wanting see awhile delivers action story entertainingthe reason gave comparisons fit scenes sam worthington first walks bombed cites much reminded game fallout someone played game make much sense makes perfect sense brought smile face t600 reminded super mutants game transformers aspect obvious love sound giant robot terminators make quite horrific fitting road warrior aspect plays role well addition throwing obviously feel terminatorsstory wise want give away anything fan spoilers ending satisfying brought huge smile faceagain movie enjoyable delivered wanted really think negative reactions movie part hate mcg part hyping wanting something else movie instead taking escape two hours fun filled action rideas far bluray goes sound picture quality fantastic current price 1599 really cannot wrong
right spot 4th movie,enjoyed films thing notice missing salavation pacing first films kept relentless stalking edge seat type pacing 4th film lackedin terms quality production acting effects top notch flow well earlier filmsso opinion would come 4th behind previous films mean enjoy thought badjust quite experience earlier films still buy though comes blurayim looking forward next film bring
factory fighting scene,want add two thingsfirst early movie sequences john connor tries escape trap terminators driving helicopter gets shot obviously imitate sequences children men julian gets shot car indeed mcg expressed admiration movie interview movie interaction helicopter environment strong enough therefore socalled youarethere feeling abates addition way sequences shot style movie cinema photography seem abruptly tucked moviesecond fighting scene human terminator factory climax happens yet perhaps solution series previous instalments repeated many times
total rubbish waste money,much hype film got especially nonsense christian bale berating lighting guy causing fluffhis dialogue scene even come close half way decent high hopes halcyon film fell way short actually caused demise disappointing fans eagerly awaited future war twenty years way franchise ever survive get back original plot basics bring cameron back board much like ridley scot done alien give die hard fans want
terminator lite,terminator litevery mild spoiler alertthe title terminator salvation contradictioninterms terminator film salvation terminator franchise something lacking fourth installment terminator series vision technical expertise guiding hand james cameron director mcg james cameronthe first two terminator films modern classicsthere nothing either film contribute clockwork precision plots exhibit flawless logic also sense epic significance events depicted first two films present tswhich ends promise sequelthis film penultimate tale war skynet ragtag human resistancebut gets caught unnecessary subplots implausible developments major characters exceedingly dumb things tsthere spectacular action setpieces alongside jawdropping would anyone stupiditiesin terminator film t600 fight like humans unbelievable realistically t600 got hands human would waste time punching throwing would simply instantly kill plus far many scenes film reminiscent spielberg war worlds especially harvesting humans sequencethe story told way original thoughtprovoking aweinspiringas first two terminator films spades breathless euphoric feeling left theater first two films seeing climax huge letdown several incredulous developments relating human heart dumb film far dependant frenetic extended cgi action sequences mask insubstantial illogical aspects plotchristian bale john conner focus film throughout essentially ensemble film bale far better work far superior film similar dystopian theme setting reign fire characters film never fully developedespecially helena bonham carter serena kogen cyberdine seen short prolog set judgement day thentowards end filmas face skynet remember zemeckis contact mcg would like seen relationship conner pregnant wife kate played bryce dallas howardbut learn nothing quite fond subplot featuring sam worthington marcus wright moon bloodgood blair williams starts promisingly quickly becomes detriment film plausibility star trek anton yelchin quite good kyle reese true mcguffin driving plot tsfor first half terminator salvation caught story told unsatisfying denouement film brought back earth felt cheated yet another mediocre installment series began wondrouslygrade
terriblejust terrible,want watch great movie things blow watch transformers least colorful excitingif want watch great christian bale movie watch dark knight batman beginsif want watch great robot movie watch walleif want watch great terminator movie watch one first twothis lousy excuse action film fails every way creating story solely meant cash word terminator watching feels like stuck watching someone like playing video game like would take movie offered free diehard fan original series extremely let fortunate paid money see theaters disagree would like obviously would seen many action movies certainly never seen original two films even shortlived fox television show betteryou warned
solid action flick neither lifts sinks terminator saga,terminator films always demanded viewers exhibit aboveaverage disbelief suspension incarnation series embraced possibility time travel caveat live matter matter encased live matter make journey course liquid metal introduced carried although time travel terminator salvation aboveaverage suspension disbelief still requiredin outing john connor resistance leader merely resistance leader one even privy top human food chain planning illfated mission beginning discovers machines kidnapping humans later learns taken skynet san francisco one kidnapped humans finds happens kyle reese father teenager particular future learns kyle character named marcus wright played sam worthington immediately question humanness probably intentional part filmmakerswhile plot film isalong acting special effectsworthy enough make aboveaverage scifi movie details prompt head scratching many parts movie gigantic terminators shown beings little surprising would desert pulverized along every building could shelter human add fact john connor operates fairly large resistance base replete helicopters fighter jets unbeknownst hightech eyes machineswhether dwell type thing terminator salvation probably fit bill highbudget scifi actionadventure recommended
guess suppose watch new transformers film next could worse first one,well week watched three recently released action films opinion cgi top movies look real anymore look animated kind fake watched new star trek joe new fourth installment terminator saga action scenes intense unrealistic overwhelming much less story human interaction compassion drama visual screen consuming effects even computer animated terminator arnold schwarzennegger goes show pretty soon movies even need actors anymore computer animators create new movie stars technology removing human element upcoming future jobs physical social interactionand argument blueray standard dvd know blue ray offers better high definition picture got conditioned watching def films see reduced quality regular dvd want happen level tolerance allows enjoy regular dvd blue ray would start journey frustration many good movies dvd want buy even renting blue ray open door hindering appreciation standard dvd ignorance bliss blissful affordable done buying movies put money towards better things days people keep buying favorite movies money
big fan first three,never big fan terminator filmsthis one differnti really liked gritty sets etc well worth seeingcheck
director cut offers nothing spoilers review,watched screener director cut minutes running time theatrical version let first say thought movie solid action standpoint however myriad plot holes cheesy lines bad acting moments theatrical version still present director cut infamous moon bloodgood topless scene hereand terrible description short scene right character blair marcus get ambushed thugs night reason blair walks middle pouring rain removes top wash chest covers breasts hands turns around marcus give long yearning stareend scene assume mcg trying force kind sexual tension two characters maybe testing marcus see could trust test gun yards away thugs find short scene served absolutely purpose movie whatsoever guess even show poorly executed every level embarrassing watchbut biggest problem plot belief connor save kyle reese posed many problems first terminator movies protecting young john connor ensure future salvation john connor protect young kyle reese ensure past present future clever writing still flawed movie basically takes back future approach time travel belief kyle reese dies resistance cannot back time therefore john connor exist connor actually believe could disappear thin air like back future even perplexing john connor hero prophet messiah movie however makes big speech radio commanding resistance stand bombing skynet speech ambiguous viewer know connor intends save human prisoners skynet save kyle reese previous terminator films justifiable sarah connor characters protect life john connor salvation connor protecting existence theologically flawed bottom line okay messiah save savior humanity future opinion sloppy misguided storytellingother plot holes explanation kyle reese number skynet kill list reese identified skynet kill immediately 3once marcus entered resistance compound skynet locate invade worst heart film literally heart filmi hoping director cut would address plot holes addressed none unfortunately mcg seemed preoccupied cool flashy onetake action sequences storytelling rumor final cut released director cut unless actual reshoots highly doubt problems fixed overall blame ultimately lies director mcg good effort though
harsh critic past,movie really good confused many give good rating yahoo sites impressed
hell lot better,boy got hammered critics know problem know pretty grim start finish humor earlier terminator flicks thought really well done christian bale especially sam worthington fine job story moved along quickly 2hour movie enough twists turns keep interested throughout besides love movie leading babe named moon bloodgood think unfairly maligned high budget bale onset rant taken straight scifi action movie pretty darn good
terminator salvation,even know addition series looking amazon enjoy watching rest series
point movie,warning spoilers point movie question kept asking movie point movie besides making money gearing obvious sequel years roadterminator salvation opinion far worst terminator movie mainly point movie big secrets revealed nothing new done done better story went except make money get ready movies roadthe actors impact sam worthington moon bloodgood two felt alive movie christian bale terrible job good actor two reflects badly director mcg direct two bad charlie angles moviesthe real good thing movie special effects best thing say movie animated saying muchoverall real disappointment skip wait come dvd rent
claims,digital copy included set expired april 2010 purchased holidays would purchased set known open cannot returned
great audio video,please describe audiovideo quality bluray review thanks thisthe video quality excellent item description says 2401 read thought 2351the dtshd master audio also excellent lot surround sounds subwoofer bassthe movie lasted hour minutes thought pretty good except ending thought incomplete
great movie,really really really good movie glad find director cut
terminator salvation,good movie even given friends watch christian bale right choice john connor
terminator salvation,family thought dvd good condition enjoyed much
good continuation,thought story behind movie great idea except plot behind supporting actor bad thing per main question would skynet could one person make would rate one right movie may break timetravel use first three movies see wise choice know another terminator movie close quality one good
good action movie terminator fans,never terminator fan maybe arnold fan like christian bale since played american psycho therefore liked movie simple huge fan series terminator indulge owning copy terminator salvation
good series may exhausting potential,better average action film compared earlier little emotional pitch themes fate heroism evolution advanced get idea time lines converging spite tampering time travel devices actions characters rather set nothing unexpected conor well kind superhuman robots bounces walls etc still fun images quite good times acting strong bale yelchin worthington oddly conor wife danes superlatively acted peripheral character film poorly doneinterestingly bought bluray cannot say picture exception images marginally better unmistakable quantum improvement dvdsrecommended worth owning like dissect nuances series would give stars
good extension moving worthington performance,terminator salvation worthy addition franchise featuring great stateofthearts special effects engaging storyline strong performancesspeaking latter sam worthington sympathetic part man ripped criminal murderous past become heroic figure future worthington balances buttkicking emotional vulnerability certainly make memorable character star christian bale john connerstar trek anton yelchin also surprisingly good young kyle reese managing downplay native russian accent purposely overplayed trek filmwelcome appearances made linda hamilton form photograph voiceover arnold rather computergenerated way
terminator review,liked shipping fast lossless audio best also sales use demo scenes movie sell home audio systems must
terminator salvation,soon found making another terminator like loved first two movies third movie less exceptional learned however christian bale would play john connor attention grabbed suddenly wanted see saw theatre good great additional suprise sam worthington opion good christian bale role marcus wright character believable find cheering wanting survive mcg excellent job movie time credits rolled hoping mcg bale would team another preordered dvd liked much
story expected,watched movie expecting better storyline less story special effects though movie always let happens spoil telling anything specifically movie say watch without seeing terminator movies sarah connor chronicles series able follow problem gave stars views might also affected physical condition watching movie recently injured back laid week anyway movie great form escapism action almost nonstop case terminator movies wish storyline felt gappyrod
movie review,guess expected movie terminator series watched impressed always though great service amazon
great movie worth every penny,great movie great price really like movie went see theatres bought one video quality amazing movie awesome regrets
john connor batman,films come within years use hit actor would prefered name actor play john conner first time watching movie almost expected say batman throw batarang something great flick follows well terminator line
prequel sequel,really good movie good action good acting gooddang terminator movie looking academy award stuff want movie explosions robots movie good script thing makes old movies good ridiculous script want people stop whining movie sucked compare old films without letting biased classics get way movie actually better first two third one really mistake acknowledge leastso want good action movie decent story quite convoluted times think itthen watch oneps think title review also watch
win lose war ends tonight,way many people trashing movie good reason fine addition terminator storyline set future judgment day follows john connor leading resistance movie well written well acted throws occassional curveball keep interested action well done cgi compliments must see anyone fan franchise first exposure find looking three movies asapmy bluray thoughts beautiful print eye popping sequences demo disc potential final verdict must
great presentation mediocre film,terminator like one franchises enough rumors speculation potential sequel future bet screenwriter producer like hey yeah make new find someone interest mean terminator considered especially classics director would likely snap chance another installment even fanbase story need terminator salvation film directed mcg predominantly known directing charlie angels big screen film strangely notbad well say clear problems film right getgo whether scriptrelated direction filmthere many elements feels like good stuff battle bad stuff save face utter travesty like many claimed movie much wrong like guitar solo every awesome moment dead notesthe year 2018 judgement day happened leaving mankind fight survive terms supplies shelter war machines developed skynet found wandering wasteland marcus wright former death row inmate walking world unfamiliar company met namely kyle reese small mute girl star also former world fighting machines john connor believe savior humanity others believe nutty marcus john eventually meet form unlikely partnership try take skynetmy problems story strangely best evidenced maximum movie mode innovative commentarypictureinpictureanalysis film might seen watchmen release near end film mcg shows deleted scenes first one uninterrupted take john connor delivering speech prior infiltration skynet urging attack personal indeed upfront connor almost humanizes especially brings mother sarah woman thought crazy proven right along director took 2nd kyle reese played anton yelchin reaches pocket takes photo sarah connor familiar one know end first film could huge symbolic weight imagine literally hold future hand woman fall woman conceive child woman die protecting somebody whatlate teens early yet taken nods old films like line back previously brought impending doom welcome rescue hero moment old line dialogue even bring back guns roses could mine reason hey remember weird plot elements either missing instead commenting concept behind scene discussion creates mcg talks different acting styles wants camera talking rest special features functional though hardly level detail star trek bonus features far director cut concerned like another reviewer pointed small omissions little moments taken radical redesign film expect kind shift tends accompany director cutis terminator salvation worth purchase yes though sure people lean towards nothing far humanity elements yet way better terminator either hopefully stumbling block reboot going suffer averagebutcouldbebetter entries either way bluray showcase home theater showcase great movie
best review,backgroundback 80s fan first terminator movie actually fan arnold schwarzenegger movies years later gave chance blown away thought movie awesome rescued story years later came disappointed terminator salvation mixed feelings movie plot essentially good entertaining convinced anomaly went strangely greatplotok summer action packed movie looking get explosions killer robots lots action etc long remember different story movie world war machines scifi movie needs show humans losing war set desert locations adds certain texture images overall aspect film give idea looks movie first thing comes mind mad max latest resident evil extinction personal commenti never hardcore fan terminator series found movie really entertaining enjoyable hardcore fans always complain anything want sit back relax hours youcastchristian bale playing john connor arnold schwarzenegger makes cameo appearance sam worthington introduced new character links humans machines thing need know performances solid scifi action filmmusicagain drums appear still sound great generally speaking score goodconclusionthis good movie within genre intended actionscifi followers definitive series definitively better end enjoying sit back relax
much action little time,rented movie loved itwe stopped minutes movie refresh drinksit felt like minutes passeddefinitely worth rental
excellent,excellent movie easy pull machines warfare well liked new guy well cast asian chick hot bale needs remove nasty wart nose also last terminator ended perfect move along hollywood
compromised prequelsequel terminator saga moments strong cast,bluray disc reviewterminator salvation created high hopes salvation profitable franchise studio well fans original films james cameron made initially disappointed film major gaps logicstorytelling dogs film number scenes suggest much better movie steamrolled studio interference budget cuts last minute rewriting potential buried makes film disappointing still set brain cruise control enjoy ride mindless diversion although hardly category much less enjoyable inferior t3spoilers plot synposismarcus wright decides donate body cyberdyne researcher executed murder wakes hell subjected hell earth year 2018 john connor leads resistence fighters discovers weapon use destroy machines given order test wright encounters connor father kyle reese captured connor marcus discovers cyborg designed trick find reese trick connor marcus convinces connor reluctantly agree partner rescuing reese killedend spoilersthe bluray looks sounds pretty darn stunningthe bluray disc includes original theatrical cut first director cut mcg submitted film rated warner could seamless branched version films sure would far valuble allow mcg integrate minutes cut footage film fleshing characters suspect see sort ultimate edition later line clever tips hat first two movies cameron aliens science fiction films appeared clearly labor love enough finished film quite measure upalso number extras including maximum movie mode allows mcg appear screen visual commentary track gives behindthescenes footage drawings concepts film also get number brief featurettes show rototerminators created arnie made cameo creation postapocalpytic future seea mindless bit entertainment fails live potential first two films promise fails deliver due last minute rewrites studio interference still film strong cast number memorable scenes visual effects hint much better film terminated prior shootingrelease
best,terminator story line getting little long tooth bought beginning see latest edition could done much better least see story progressor regress case may terminator fan see one well
return killing machines,went see movie actually liked think would little better could arnold someway beside little computer generated version couple seconds far mcg releasing dvd happy disc special edition dvd bluray player plan buying one anytime soon like get special editions movies dvd every big movie year disc special edition dvd terminator really looking forward extend version mcg talked beginning say making special edition dvd release time actually came around guess deal regular movie
surprised horrible movie terrible acting script directing,let start saying rarely write negative reviews amazon although write many reviews prefer spend time writing reviews items movies music really like think helpful othersthat said movie awful felt compelled write huge fan first two terminator movies certainly rank top movies time really excited see latest installment man really could believe seeing extremely thin storyline new twist horrendous amateur acting woeful script complete lack directing skill basically took storyline know tried create special effects around use lot lines previous films comedic gestures incredible mistake using phrases like back come want live completely context excruciating embarrasing watch imagination whatsoever directing writingalthough really good actors film lack proficient director decent script gave little work performances ended soapoperaish christian bale got caught mess beyond although sure got decent paycheck iti hope next installment put hands proper director infuse vision uniqueness direction storyline project opinion give one miss disappoint
ugh,impressed clearly motivation behind movie make buck popularity first three terminator movies minutes waiting memorable thing movie growling yelling christian bale seems scream whole time twist marcus wright thread film semiinteresting enough save picture overall intense action scenes thrill year old boys watching beyond found huge letdown
awful movie,one movies watch half hoping get better never time progresses hope filmmakers salvaging project building something really great fades away left ending obviously changed last minute fit rest movie know pour much money talent film like product stunning failure think special effects great lot action tell even tried put depth story even solid ingredients somehow turn bitter thrown together way movie perhaps movie worst offense dialogue first scene sets bar film low would think could possibly get worse apparently director loves challenge found way end movie care characters die fact might even wish
utter,agree everyone else call epic fail sad part ps3 still buy protest find offensive blu ray customers get director cut
great movie,saw thinking going terrible listen reviewers think terrible liked better originals action great storyline actually pretty good acting terrific found little short want stopaction 1010storyline 1010length 710twist end 1010definite must buy
worst terminator movie,worst terminator movie anyone like beyond good one utter crap
poorly lit scenes ruins movie,movie really boring could stay photography dull final battle similar t1t2 aliens quite frankly expected missed arnold big time series far superiori managed watch directors cut often scenesediting comes dull bale lacks form charisma worthington actually required moon bloodgoodbryce dallas howard wasted may faults far entertaining leads actually better things movie reminds mummy
scifi,special effects really good story good overall seemed inconsistant terminators ending corny
cup either half full half empty,big terminator fan one favorite movies time love made fans loved got arnold back old role heard another terminator movie going come figured either going mind blower really poorly done terminator salvation somewhere two mind blower adapted lot new concepts terminator story arc poorly done follow originals well tsalvation super holly woodized version special effects added kind took away realism terminator made seem bit scifi unbelievable lacked element realism made fantastic watching terminator salvation made flashback watching war worlds transformers heavy cgi use action scene action seen shallow story aside usual focus john conner one mainly centered around kyle reese unknown terminator marcus wright enjoyed unknown terminator anyone else film one personality story add film weirdest thing seemed take john forever trust accept unknown terminator allyi guess forgot last films terminator saved life dozen times mean common garbage writers ever see films movie john hates terminators hate think years would realize terminators programmed protect people instead killing forget learned arnold bottom line makes movie disappointment lack developed story knowing series could done much better future john leader resistance group people follow command must fell asleep terminator salvations think movie missing know one made explains john became military leader people would follow massive armies came together fight machines machines organized developed powerful dominating force terminator salvation skips jumps right future biggest problem machines advanced ones encountered first movies supposed much distant future one presented tsalvation story becomes confusing audience futuristic developed future set back time dates watch terminator unknown throughout movie realize place humanistic terminators something t800 t1000 created much later dates could achieve apparently skynet able make highly advanced terminator modeled humans perfectly much problems reaching either primary targets kyle reese john connor spent first movies trying kill even though terminators made date much later terminator unknown make sense shows creators movie followers terminator series tsalvation completely place pretty much batman robinof series watching film appreciate action sequences looking nostalgic moments made famous pick want see terminator action film take heart many flaws reviewer glass half empty decent film developed excuse hate love either
best terminator yet,huge terminator fan seen movies twice say best whole series movie action packed sloid plot many twists turns leave guessing throughout whole movie christian bale sam worthington opinion played excillent role movie really tell plot never seen say takes place years terminator skynet terminated half human race creating different types models terminators destroy survived deadly attack called resistance buit skynet produces deadlyest terminator model yet fate world hands john connor freinds let saylolarnold back
good action sequences pity plot,james cameron terminator christian bale fan disappointed mcg mediocre treatment terminator salvation action sequences solid welldelivered make paperthin character development flawed story flow problem exception marcus wright simply care characters fate resistance mcg given much invest emotionally little minigun fodder much work normally excellent bale wasted shallowest john connor far series never guntoting onedimensional blunt instrument military force quote casino royale bits pieces previous terminator movies sprinkled along movies like mad max war worlds even elements resemble matrix postapocalyptic world especially mech designs still entertaining terminator fans could totally dismiss version lives superfluous summer blockbuster brings nothing new terminator franchisethe director cut much director cut adds minutes brief bloodgood boobage violence ensuing fight 3040 minutes deleted scenes mcg told fans interviews would included theatrical version 115 min director cut disappointing 118the story begins 2003 scheduled execution marcus deathrow inmate responsible deaths brother two cops hard time accepting charismatic handsome contemplative remorseful marcus killer know anything background crime except feeling intentionally kill men deserve die insistence freakishly bald chemod cyberdyne researcher serena kogan donates body science marcus receives lethal injection scene blurs text crawl skynet awareness extermination human race judgment day film cuts right 2018 middle assault skynet research facility connor men one shootout car chase another little way character developmenti get main storyline second chances means human two threads clumsily handled mcg seem know story john marcus kyle star cliched perceptive child mute akin newt character aliens stereotypically callous general cared victory else even cost hundreds innocent lives wtf moments came mech designs towering terminatorpeople harvesters robotic serpent hydrobots mototerminators launched legs giant mech art direction felt wrong terminator postapocalyptic universe really place mostly 1on1 engagement single terminator hero essential story element missing strong antagonist time get heroes unstoppable new superterminator also thought awful lot people hanging around desolate wartorn future terminators good detecting people need loud noises fire alerted human presence believable race sentient machines advanced weaponryas far terminator purists concerned terminator saga ended james cameron famously stated world one replace cameron mean fans series write efforts extend franchise though entertaining mcg adds nothing new ending especially unsatisfying feels like taken big circle character care die character care live humans may battle war far ending crawl leaves movie really pessimistic circular tone talking fighting skynets around world closure finality story bet sequelin summary fun actionoriented blastfest lots nice thrilling sequences short strong characters terminator fans action film enthusiasts still enjoy lot leave brain door
need discuss plot absent,disappointing megamusic video version mad max one long romp ruinsconfusing disjointed frequently frustratingly illogical comes boring even allthe welldone cgi mayhem said mayhem nonstop becoming mindless blur disjointedhuman robot body parts flying nowhereafter first two series one even disappointment fans see continuation motivated simply aiming exploit terminator nameat least amazon consideration dropping price 999 small consolation
dvd release disaster,agree reviewers warner pulled stunt trick treat decided buy dvd reason unrated version available dvd understand dvd cannot match picture quality sound blu provides however dvds always able support audio commentaries bonus featurettes put dvd still charge prices ridiculous firmware problems blu fact support hdmi studio pull garbage less likely ever convert blu fact hope blu format fails favor digital downloads stupid warner
terminate movie,kept waiting movie get going suspense never waste time money
done,contains spoilerswith exception interesting action scenes decent acting christian bale much new terminator salvation exception fully immersed postapocalyptic world timetraveling past got two stars instead onei love christian bale acting chops complete action hero dark knight performance cemented need make good movie terminator salvation fails give new storyline alarming rumors circulating terminator film considered boy perhaps time lay series rest saying bad track record series remains unchanged highly successful sequelif familiar three terminator movies aware john connor quintessential hero thinking machines machines brought mankind near extinction stay firmly future fighting crazed machinemade mankillers discovering marcus wright man past awakened future become weapon machines unawares accomplice trying eradicate human population true identity machine finally revealed much surprise humans help young feisty kyle reece marcus fights way machines safety humans see battle knowledge new internal metallic identity throw war side really big question audience supposed ponder one surprise embittered oftconflicted antihero makes right choicein addition clich movie even reinvents scene terminator judgment day terminator gets frozen tries break free done let move peoplethe final word film really show great story characters come know cinema instead got rehashing old themes bit action eyecandy much really
leave alone,great movie course james cameron movie supposed much entertaining terminators loved promise dissapointed cool action futuristic movie
best terminator movie,awesome addition series saw film times theater
awsome movie see big must,movie best ever seen waiting long time particular moment
terminator salvation,product excellent condition shop confidencewould buy seller
excellentbest series,blu ray way watch movieexcellent sound surround sound setup picture extra crisp
movie,family loved movieit best one yetfull action entertainmenttwo thumbs
good,fell asleep hour watching movieit guess looked great bluray far movie goesnowhere near good terminator movies
directors cut,wanted let everyone know target selling directors cut dvd think place get
stick original two,please james cameron buy back rights terminator save continuing slew mediocre sequels poorly executed woefully underbudgeted ultimately canceled show good come never ending milking franchise intriguing protector terminator character cameron phillips sarah connor chronicles smitten one baffled equally smitten john connor end storydo get started christian bale onenote embodiment older john connor cringeworthy effort nick stahl equally flat performance kristanna loken bland marcus wright hybrid played sam look bored job worthington salvationif james cameron someone equal vision skill could make entertaining intelligent timely scifiactionadventure epic around 20something cameron 20something john connor make official would give theoretical sequel chance heck would even love arnold schwarzenegger robert patrick even linda hamilton michael biehn come back fun get band back togetheruntil stick watching classics terminator extended cut waste time money flick
horrible,care movie one action sequence another hardly dialog zero character development story defiantly movie movie makes look like classic show emmy worthy
movie,acceptable movie cannot self terminate terminated
goodbut,see finished minutes ago action secuences great argument connects three films superb sarah connor picture records kyle reese course arnold sam worthington deed worth watch human hybridterminator however hardly heart transplant take place tent surgery performed veterinarymmmm talking nonsense give stars nevertheless good movie
terminator dvd release sucks,movie great happened extras bare bones release going release movie dvd extras fans would like deal digital copy log onto web get digital copy paid 2disc set expect dvd movie digital disc copy movie coupon download digital copy let see fraud opinion disceptive practices wonder fcc would think
better ready pull trigger,gads whiningterminator salvation supposed entertain bluray edition director cut dvd extras folk saw theaters stupidterminator salvation first foremost scifi film story snippet story john connor meaning franchise looooong way yet happen like new terminators introduced pace lightning quick meaning watch certain segments get full effect yes acting twodimensional times scifiaction film considering schwartzeneggar portrayals first three films unexpected still film suffer story still engrossing devotees franchiseit funny exception christian bale better known actors like helena bonham carter michael ironside jane alexander relegated essentially bit parts sad jane alexander wonderful actress rest relative unknowns maybe anton yelchin bryce dallas howard notable exceptions still performances goodi specific details story many jump computer get reviews fast lay bare thinking favor suffice say terminatorsalvation good scifiaction film likely see maybeavatar
ohhhh good,really quote part christian bale infamous meltdowntirade recorded set film watching extended director cut film understand sympathize bale tension sethe obviously came realization one better career choices became crankier project wore onthis film passes part much broader canvas franchise find moments like film like terminator films grew like specific actors project sam worthington singlehandedly saves film total failurepro fan previous films finally get see storyline takes place future post judgment daycon sit thru poorly thought film storyline hands hack director wants known world mcg whenever see mcg film credits know cannot good expectations need tempered way downpro postapocalyptic wasteland everyone dirty bryce dallas howard manages get hold amazing makeup keep looking fresh glossy ready warcon future full terminator machines running planet sure get see often one moving special effect robot time fight terminator killbot factory see one working terminator taking heroescon many plot holes bad scriptcon mention mcg director cut mean better filmit means bad choices guythis rental best forget soon get much paid story ends
james cameron,expecting great things christian bales apparent lack enthusiasm unfortunately terminator rise machines far superior salvation every level better storyline characters much better climax really derivative final set piecethe problem real story speak ofquite frankly mess sam worthington totally miscast seems boredthroughout whole movie christian bale case see noton plus side full special effects fans love ironically gas station sequence subsequent chase scene following movie saving grace truly superb one best set pieces seen terminator movies seen directors cut sure better
complete letdown,necessarily high hopes film shun first sight either rather strong casting christian bale figured could surprisingly good since every film gets rather good reviews critics afraid one miss fire bale throughout movie almost see eyes knows horrible movie way communicates everyone movie almost hear saying heck film plot extremely linear boring script poorly written even poorly executed actors character suppose wimp john connor suppose last bada left godforsaken war yet act like prepubescent teenager believe realizations notorious fiasco set terminator salvation
waste,trailer tsalvation perhaps one better trailers would seen along time despite fact mcg directing expectations high man movie disappointing sure special effects great credit animators budget everything else terrible story weak acting mediocre editing choppy fun previous terminator movies completely missing overserious bore
terminator salvation,okay ordering item googled company sending found guys canada felt jipped thought ordering new york east coast since received item writing review bit late remember took foreverrrrrrrrrrrrrrr ship item opened package looked like supposed shipping animal products said something animal product packaging envelope bubble wrap anything protect movie movie great loved case dvd like terminator dvd purchased within week amazon thing flimsy extremely aggravated like get pay items pay like 001 shipping 298 product great honestly stay away get dvd another company inetvideo sucks like writing bad reviews guys deserved spent 781 got movie late risked possibility damage dvd due carelessness company package consideration buy new dvd case weak want anything happen dvd seriously spend 700 burger something give money
