document,summary,,,,,,,,,,,,,,,,,
"The East Midlands Trains service was travelling at 65mph (105 km/h) when it derailed at Barrow on Soar in Leicestershire in February 2008.
The train derailed after an engineering works tipper lorry hit a footbridge.
Leicester Crown Court heard the firm did not have a proper construction site safety assessment in place.
A train driver had to be cut free from his cab after the bridge collapsed in the accident, but no-one else was hurt.
A warning message had been sent out, but the Nottingham-to-Norwich passenger train was unable to stop in time.
The tipper truck driver did not realise the height of his truck and had left the back of it raised in the air, the court heard.
The train driver was trapped for two-and-a-half hours and suffered serious leg injuries.
""Network Rail's poor planning and management of construction site safety at Barrow placed members of the travelling public a risk,"" Darren Anderson of the Office of Rail Regulation said.
The court heard that the train driver ""thought he would die"" and still suffered from flashbacks.
""It should never have happened and I would like to say sorry for the fact that it did happen,"" Network Rail spokesman Martin Frobisher said.","Network Rail has been fined £80,000 and ordered to pay costs of £32,000 after admitting causing a train to derail in Leicestershire.",,,,,,,,,,,,,,,,,
"Prof Higgs, who does not own a mobile phone, said a former neighbour had pulled up in her car as he was returning from lunch in Edinburgh.
He added: ""She congratulated me on the news and I said 'oh, what news?'""
The woman had been alerted by her daughter in London that Prof Higgs had won the award, he revealed.
He added: ""I heard more about it obviously when I got home and started reading the messages.""
The 84-year-old emeritus professor at the University of Edinburgh was recognised by the Royal Swedish Academy of Sciences for his work on the theory of the particle which shares his name, the Higgs boson.
He shares this year's physics prize with Francois Englert of Belgium, and joins the ranks of past Nobel winners including Marie Curie and Albert Einstein.
The existence of the so-called ""God particle"", said to give matter its substance, or mass, was proved almost 50 years later by a team from the European nuclear research facility (Cern) and its Large Hadron Collider (LHC) in Geneva, Switzerland.
Speaking for the first time about the award at a media conference at the University of Edinburgh, he said: ""How do I feel? Well, obviously I'm delighted and rather relieved in a sense that it's all over. It has been a long time coming.""
An old friend told him he had been nominated as far back as 1980, he said.
Prof Higgs added: ""In terms of later events, it seemed to me for many years that the experimental verification might not come in my lifetime.
""But since the start up of the LHC it has been pretty clear that they would get there, and despite some mishaps they did get there"".
Stressing the involvement of other theorists and Cern, he added: ""I think clearly they should, but it is going to be even more difficult for the Nobel Committee to allocate the credit when it comes to an organisation like Cern.
""I should remind you that although only two of us have shared this prize, Francois Englert of Brussels and myself, that the work in 1964 involved three groups of people, (including) two in Brussels.
""Unfortunately Robert Brout died a few years ago so is no longer able to be awarded the prize, but he would certainly have been one of the winners if he had still been alive.
""But there were three others who also contributed and it is already difficult to allocate the credit amongst the theorists.
""Although a lot of people seem to think I did all this single-handed, it was actually part of a theoretical programme which had been started in 1960.""
Prof Higgs was born in Newcastle, but developed his theory while working at the University of Edinburgh.
The landmark research that defined what was to become known as the Higgs boson was published in 1964.
Discovering the particle became one of the most sought-after goals in science, and the team of scientists behind the $10bn LHC at Cern made proving its existence a key priority.
In July of last year, physicists at Cern confirmed the discovery of a particle consistent with the Higgs boson.
Prof Higgs, who had often been uncomfortable with the attention his theory brought, was in Geneva to hear the news, and wiped a tear from his eye as the announcement was made.
Reacting to the discovery at the time, he told reporters: ""It's very nice to be right sometimes.""",Nobel Prize-winning scientist Prof Peter Higgs has revealed he did not know he had won the award until a woman congratulated him in the street.,,,,,,,,,,,,,,,,,
"The 31-year-old Australian was hurt during the Chiefs' narrow Champions Cup loss at Ulster and needs surgery.
Salvi joined the Chiefs in the summer of 2015 from Leicester and became a key part of the side that made last season's Premiership final.
""We're still waiting to learn the full extent of it but it looks relatively serious,"" head coach Rob Baxter said.
Salvi was twice short-listed for the Premiership's Player of the Year award while at Leicester and is a former Australia Under-21 captain.
""He does put in a huge contribution over 80 minutes, and that's probably what we'll miss the most,"" Baxter told BBC Sport.
""His biggest quality is his consistency. He turns up every week, and even when we've had some poor performances and even when some individuals within the side have played poorly, Julian's contribution has always been absolutely first rate,"" added Baxter.
""He's virtually always our top tackler, virtually always our top clearout guy, and probably the thing that people don't appreciate about him is how important he is to our attack.
""A lot of people talk about open-sides as being tacklers and defenders and disruptive people, but Julian is very important to our attack because he clears so many breakdowns.""",Exeter flanker Julian Salvi has been ruled out for the rest of 2016 after injuring his biceps.,,,,,,,,,,,,,,,,,
"The Lionesses' third-place finish in Canada makes them the second most successful England team ever, only behind the men's victory in 1966.
Sampson replaced former boss Hope Powell in August 2013.
""It's been instilled in us over the last 18 months, that family atmosphere, the togetherness,"" said White.
""It's 23 players, we're all in it. You can't win it without 23 players or the backroom staff as well.""
During Powell's 15-year reign as manager, the Lionesses never progressed beyond the World Cup quarter-finals - and former players have since criticised the negative feeling among the team during her time in charge.
However, speaking to BBC Radio Three Counties, 26-year-old White says it has been a different story under Sampson.
""He's changed a lot in the team, he's brought in new people,"" said White. ""I always think it's good to have a change.
""He's definitely brought that togetherness, that fire, that passion. Everyone was on board with everything.
""We all stuck together and we're definitely like a little family.""","Notts County striker Ellen White says England's success at the Women's World Cup was down to the ""family atmosphere"" instilled by manager Mark Sampson.",,,,,,,,,,,,,,,,,
"Anna Signeul's team have lined up home games with Romania and Republic of Ireland either side of a trip to meet fellow finalists Sweden.
Euro 2017 runs from 16 July - 6 August, with the Scots making their debut at a major finals.
Scotland open the competition against England on 19 July, with Spain and Portugal also in Group D.
Friendly dates:
Scotland v Romania (Falkirk, 9 June)
Sweden v Scotland (Vaxjo, 13 June)
Scotland v Republic of Ireland (TBC, 7 July)",Scotland Women will play three warm-up friendlies ahead of this summer's Euro 2017 tournament in the Netherlands.,,,,,,,,,,,,,,,,,
"The papers were presented to a meeting of health board chief executives and civil servants last month.
They suggest the NHS is facing a £400m funding gap, and sweeping changes will be needed for boards to break even.
The Scottish government said it was committed to ""protecting and increasing the NHS budget"".
The papers were passed to the BBC and The Herald by a senior NHS whistleblower, who said they had become frustrated by the argument of the ""Yes"" campaign that the biggest threat to the NHS comes from the UK government.
The documents state: ""The status quo and preservation of existing models of care are no longer an option given the pressing challenges we face.""
The whistleblower has alleged that pressures on the NHS come from Scottish government policies.
The confidential documents relate to a meeting held by NHS bosses on 6 August 2014.
As part of an initiative to transform care by 2020, legislation has been passed by the Scottish government to encourage more community care.
However, the papers say this has been undermined by ""continued commitments"" which are ""directly in conflict"" with the 2020 vision and increase the cost of expensive hospital care.
The documents say new obligations are ""not fully funded"".  The documents conclude that the ""status quo in terms of service and workforce planning is not an option"".
The papers outline a funding gap of £400-£450m in the next two financial years, 2015-17, which is described as ""a level significantly in excess of that previously required"".
The documents suggest that health boards will have to consider centralising hospitals and closing services - a measure which the SNP vowed to stop when it was elected in 2007.
The Scottish government reversed the closure of Accident and Emergency departments at Monklands and Ayr hospitals, but the papers suggest such dramatic measures may be back on the table.
""Radical and urgent decisions need to be made regarding the shape and configuration of services,"" the document states.
But it also points out that boards are ""without the mandate and authority to implement the scale of change and redesign required"".
""We need to commit to these priorities and accept that significant changes require to be implemented,"" the papers conclude.
The whistleblower told the BBC: ""Services are unsustainable right across Scotland from three emergency centres in Lanarkshire, to emergency care at the Vale (of Leven) to paediatrics at St John's (in Livingston), and with particular issues for more rural boards, hence the problems at Grampian.
""The current pattern of services is underpinned but short-term money and fixes won't stack up going into next year.
""There is a complete gap between policy announcements about care in the community and more money for primary care, and the announcements and commitments which continually increase the cost of acute care.""
The Scottish government said the paper was ""part of the regular discussions among NHS leaders to plan for NHS Scotland's future"".
Health Secretary Alex Neil said: ""We've protected Scotland's NHS from the Tories' cuts, and with independence we can ensure that it is never again under threat from Westminster's dangerous obsession with austerity.
""Despite Scotland's budget being slashed by 7.2% by George Osborne between 2010/11 and 2015/16, our increases in health spending means that the NHS is receiving record high funding, with a budget increase of over £1bn between 2010/11 and 2015/16.""
He added: ""To ensure we can continue to develop the NHS, it's important that NHS boards regularly discuss their future plans to inform budget discussions with Scottish government officials, and to identify how we will continue to deliver quality care and treatment.
""We continue to develop our health service to meet the changing demands of the people of Scotland, and that's why we've already legislated to integrate health and social care from April next year.
""This integration of services is particularly important to ensure our elderly population is kept well and provided with care in the best setting for their wellbeing.""",Confidential papers passed to the BBC suggest a radical cost-saving plan will be implemented in the Scottish NHS after the referendum.,,,,,,,,,,,,,,,,,
"Connecticut-based hedge fund Gramercy purchased the defaulted debt at a discount in 2008 after other bondholders failed to reach a deal.
Peru's finance minister said the government would oppose any legal action outside its borders.
Purchasing defaulted bonds on the cheap to make a profit in a settlement is a common hedge fund tactic.
The South American country defaulted on the $5.1bn (Â£3.33bn) in bonds in the 1980s.
Gramercy has threatened to bring a claim against Peru under a tribunal system established in a US-Peruvian trade deal.
This type of action has been called ""predatory"" by groups in favour of sovereign debt relief plans.
Argentina has been engaged in a prolonged court battle with hedge funds over bonds it defaulted on in 2005.
This week Peru has played host to meetings of the World Bank and International Monetary Fund (IMF).  Among the topics discussed was how to help country's restructure debt after a default to avoid drawn-out court battles.",A US hedge fund has threatened to sue Peru over bonds issued by the country's former military regime.,,,,,,,,,,,,,,,,,
"She said the offer of taking 20,000 migrants over the Parliament but none from Europe proved the prime minister was ""contemptuous"" of Calais people.
Natacha Bouchart said migrants in Calais saw Britain as a soft touch on benefits and illegal work.
She told MPs migrants said they could easily find work and accommodation in England and were not controlled.
Giving evidence to the Home Affairs Select Committee, via an interpreter, the French politician said less than 10% of the 3,500 migrants currently in Calais wanted to seek asylum in France, all others wanted to come to England.
She said if France made 50,000 places available, they still would not seek asylum in France, and it must be confirmed that the UK was not a ""El Dorado"" for migrants.","The mayor of Calais has said she is ""disgusted"" by David Cameron's response to the migrant crisis.",,,,,,,,,,,,,,,,,
"George Kay, 35, was charged with assault by beating and unlawful possession of a stun gun disguised as a torch.
Mr Kay did not enter a plea at Brighton Magistrates's Court when he appeared earlier.
He is also charged with possessing a bladed article.
The charge relates to a hunting knife found in a wardrobe.
Mr Kay is next due to appear at Lewes Crown Court on 11 January.
He was arrested at the couple's house in Crowborough on 3 October.",The husband of reality TV star and former singer Kerry Katona has appeared in court accused of beating her up at their home in East Sussex.,,,,,,,,,,,,,,,,,
"The 29-year-old world number 204 began two shots behind leader Adam Hadwin of Canada, but birdied three of the last four holes to finish on 20 under par.
Hadwin was one clear of the field after Saturday's round of 59, only the fourth on the PGA Tour on a par 72 course.
He followed it with four birdies and two bogeys in a 70 to finish runner-up.
Scotland's Martin Laird was the highest-placed European, tied for ninth place on 14 under.","American Hudson Swafford carded a final day 67 to seal his first PGA title with a one-shot victory at the CareerBuilder Challenge in La Quinta, California.",,,,,,,,,,,,,,,,,
"Provan, who can also play as a winger, left Notts' fellow Women's Super League One club Reading at the end of the 2016 WSL season.
She said: ""I'm very excited to join such an experienced squad.""
Manager Rick Passmoor added: ""Shelly adds a wealth of knowledge. She gives us a different option on the left-hand side, in an attacking sense as well.""
The Spring Series sees teams play each other once in a one-off, six-week transitional competition before the WSL's switch to a winter calendar.
For top-flight teams, the Spring Series runs over six weeks, from 23 April until Saturday, 3 June.",Notts County Ladies have signed full-back Shelly Provan on a contract until the end of the 2017 Spring Series.,,,,,,,,,,,,,,,,,
"Mick Schumacher, 18, will drive demonstration laps in a 1994 Benetton car, a family spokeswoman said.
His father took his first race victory at the circuit on 30 August 1992 before going on to a further 90 race wins and seven world titles.
Schumacher, 48, suffered serious head injuries in a skiing accident in 2013.
He has not been seen in public since.
He retired in 2006 in after two world titles with Benetton in 1994 and 1995 before five titles in a row with Ferrari from 2000 to 2004  - clinching his seventh world title at Spa.
He made a comeback in 2010 with Mercedes but was unable to replicate his earlier success.
Schumacher family spokeswoman Sabine Kehm said it was not possible to use the race-winning 1992 Benetton for the demonstration because of mechanical and insurance issues.
Mick Schumacher is currently racing in European Formula Three.",Michael Schumacher's son will mark the 25th anniversary of his father's first Formula 1 win by driving at Spa before Sunday's Belgian Grand Prix.,,,,,,,,,,,,,,,,,
"He made the comments on BBC Radio Ulster's Inside Politics programme.
It is understood that Sinn Féin have proposed an individual to chair the new talks process.
It is believed the name has been forwarded to the British and Irish governments but there has not yet been a response.
A number of politicians strongly criticised the handling of previous negotiations, which ended without success last weekend.
Mr Brokenshire has invited parties to another round of talks on Monday.
The UK and Irish governments have said they want the talks at Stormont Castle to have an agreed agenda and regular roundtable meetings.
The two governments have described it as ""an intensive process to drive progress"".
The parties missed Monday's deadline for forming a power-sharing executive.
However, Mr Brokenshire said he believed there was still a window of opportunity for further dialogue.
Mr Brokenshire also told MPs earlier this week that he does not believe there is an appetite for a fresh snap election.
He said he does not want to see a return to direct rule from London, but has to keep all his options open.",Secretary of State James Brokenshire has said he does not see a role for an independent mediator or chair in the next round of Stormont talks.,,,,,,,,,,,,,,,,,
"Lt Gen Zaid al-Saleh, head of the government's local security committee, said rebel fighters did not ""have much time"" and needed to ""surrender or die"".
Tens of thousands of civilians are also believed to be in the rebel enclave.
Syrian state TV showed footage of people in Aleppo celebrating, amid reports the army was close to victory.
The director of the UK-based monitoring group, the Syrian Observatory for Human Rights, warned of ""real massacres"" being carried out in Aleppo.
Rami Abdel Rahman called on the international community to find a safe haven for civilians.
Rebels have now lost more than 90% of the territory they once held in eastern Aleppo since government forces stepped up their offensive to regain full control of the city a month ago.
Russia, which backs the government, says more than 100,000 civilians have been displaced by the fighting and that 2,200 rebel fighters have surrendered.
Aleppo was once Syria's largest city, and its commercial and industrial hub before the uprising against President Bashar al-Assad began in 2011.
For much of the past four years it has been divided roughly in two, with the government controlling the western half and rebels the east.
Troops finally broke the deadlock with the help of Iranian-backed militias and Russian air strikes, reinstating a siege on the east in early September and launching an all-out assault weeks later.
On Monday morning, the official Sana news agency cited a military source as saying that the army had taken full control of the key southern district of Sheikh Saeed, as well as the neighbouring areas of Karam al-Daadaa and Saliheen.
Hours later, nearby Bustan al-Qasr, Kallasa, Fardous, Jaloun and Jisr al-Haj had also fallen after rebel fighters withdrew in the face of an intense government bombardment, the Syrian Observatory for Human Rights reported.
Late on Monday the monitoring group said that clashes were continuing in Salah al-Din neighbourhood and other areas remaining under rebel control.
In an interview with the BBC's Victoria Derbyshire programme, an English teacher who is still inside a rebel-held area described the conditions as terrible.
""The situation inside the eastern part of Aleppo is literally doomsday,"" Abdul Kafi Alhamado said. ""Bombs are everywhere, people are running, people are injured in the streets, no-one can dare go to help them, some people are under the rubble.""
The Syrian Observatory says that at least 415 civilians and 364 rebel fighters have been killed in rebel-held areas since 15 November. Another 130 civilians have died in rebel rocket and mortar attacks on the government-controlled west.
Russia and the United States, which backs the rebels, held talks in Geneva over the weekend to discuss a deal for civilians and rebel fighters to leave Aleppo.
But on Monday, US officials said their Russian counterparts had rejected a proposal for an immediate cessation of hostilities to allow for safe departures.
Analysts say the fall of Aleppo would be a big blow to the opposition, as it would leave the government in control of Syria's four largest cities.
However, the head of the umbrella group that represented political and armed opposition factions at failed peace talks at the start of this year insisted that their determination to overthrow the president would not be diminished.
""If Assad and his allies think that a military advance in certain quarters of Aleppo will signify that we will make concessions, then [I say] that will not happen,"" Riyad Hijab, general co-ordinator of the High Negotiations Committee, told reporters.
As fighting intensified for the last rebel-held neighbourhoods, there have been frantic efforts to secure guarantees to evacuate the most vulnerable - the very ill, gravely injured and innocent children. All efforts have been in vain.
""It's a far dream,"" one frustrated aid official told me on Monday, about a long-standing request for a UN-organised medical mission for about 500 patients and their families.
Two efforts, which seemed close to agreement, collapsed last week when Russia asserted there was no need for a ceasefire since tens of thousands were escaping without one.  Sources say Russia then shifted its stance. But rebel groups demanded a ceasefire and a delivery of aid first.
In desperation, aid agencies reduced their request from 72 hours to just three. A group known as ""Doctors Under Fire"" has also been pleading for the evacuation of hundreds of children.
British surgeon Dr David Nott says ""we only need a temporary cessation of 60 minutes to save them all."" Even that seems to have been too much.","Syria's army says the battle for Aleppo is in its final phase, after major gains by troops in the city's south left rebels on the brink of defeat.",,,,,,,,,,,,,,,,,
"The federation represents thousands of rank and file PSNI officers.
Its chairman, Mark Lindsay, has said confidence in the office of the ombudsman is at an all-time low.
A spokesperson for the ombudsman said the comments were ""disappointing"" and ""at odds with the feedback from police officers who had been investigated"".
Mr Lindsay told the federation's annual conference that ""reform is not so much desirable as essential"".
He also said the PSNI is in a state of crisis because of reducing budgets and officer numbers.
Criticism of the office of the ombudsman by the federation is not new.
In his speech on Wednesday, Mr Lindsay said the federation accepted the need for the independent investigation of complaints against police officers.
But, with Ombudsman Dr Michael Maguire among the audience at the La Mon House Hotel, he suggested some feel they are victims of a ""witch hunt"".
""It gives me no pleasure to say that, unfortunately, there is very little officer confidence in relation to the operation of the ombudsman's office,"" he said.
""The credibility of the office is also seriously questioned.""
The federation chairman highlighted the ongoing PSNI investigation into the theft and unlawful disclosure of documents from the ombudsman's office.
He also cited the discovery of a gun and ammunition in a filing cabinet belonging to a member of staff in the office last year.
""There is an obvious need for an independent avenue of appeal, whereby officers will have meaningful redress against malicious and inept investigations,"" he said.
""The ombudsman is with us today and I say to him that this isn't about you, but rather the legislative architecture of the system you preside over.
""If your office conducts itself with the high standards you demand of police officers, then surely you have nothing to fear from such accountability.""
Mr Lindsay said the level of assaults against police officers by members of the public is ""unacceptably high"" and called for tougher action to protect them.
He told the conference that eight out of 10 PSNI officers who responded to a survey said they had been victims of a physical or verbal assault during the past year.
It's understood that 14% of PSNI officers took part in the survey.
The federation has called for the introduction of ""spitguards"" to prevent people in custody spitting at officers.
He also warned of ""dire consequences"" for the PSNI because of reducing budgets and officer numbers.
""We're now beyond the point of warning of a crisis. Right now, we're in the middle of a crisis,"" Mr Lindsay said.
""What's needed now is for our politicians from all sides to make a stand against this madness of continuing austerity.
""They must make policing one of their main priorities and campaign as never before to get the government to re-think its disastrous policy.""",The Police Federation has called for an independent appeals process to allow challenges to investigations reports by the Police Ombudsman.,,,,,,,,,,,,,,,,,
"Leicestershire Police said the searches in Braunstone Avenue relate to the death of Megan Bannister, whose body was found in a car following a crash.
A post-mortem examination revealed her injuries were not consistent with a crash.
Two men, aged 27 and 28, are still being quizzed on suspicion of murder.
A police spokeswoman said: ""Searches carried out at an address in Braunstone Avenue were in connection with the investigation into the murder of Megan Bannister.""
Megan, from Leicester, was dead before the collision between a car and a motorbike in Enderby, Leicestershire, on Sunday, police said. Her body was found in the back seat of a black Vauxhall Astra.
Updates on this story and more from the East Midlands
Megan was due to take the first of her GCSE exams on Tuesday, said her school. She wanted to become a midwife.
Her family said in a statement that Megan was their ""beautiful, talented, loving daughter and sister"", who was ""bright, clever, and a responsible person"".
Wigston College, where Megan was a student, said in a statement Megan was ""funny, friendly and good"".","Searches at a house in Leicester are connected to a murder investigation into the death of a 16-year-old teenager, police have confirmed.",,,,,,,,,,,,,,,,,
"Leicestershire became crucially important to Richard III after Henry Tudor landed in Wales in August 1485.
The king stayed in Leicester on the night of 20 August before marching out to cut off Henry's progress through the midlands.
Richard's death at Bosworth, along with the recent discovery of his bones, have left a rich legacy in the area.
On 22 March the reburial cortege will pass some of these places - starting at Fenn Lane in Leicestershire before heading into the city.
Below is a map of the planned procession through the county. Click here for the route through Leicester city centre.
Fenn Lanes
Bosworth Heritage Centre
Bow Bridge
Fenn Lane Farm
Dadlington Church
Sutton Cheney Church
University of Leicester
City Map
To see an interactive map of the city route, click on the link above this map",(Please note - this page is best viewed on our desktop site).,,,,,,,,,,,,,,,,,
"Rocky Taylor, a friend of 40 years standing, said the former BBC radio DJ and Crackerjack presenter had died in hospital in Bournemouth.
Stewart's former brother-in-law, Adriano Henney, tweeted to say ""Fun guy-Huge loss"".
Director of BBC Music Bob Shennan said Stewart had been a ""stalwart"" of popular music broadcasting.
Mr Shennan said Stewart's shows had been enjoyed by millions of listeners.
Ed 'Stewpot' Stewart: Your memories
Stewart's BBC Radio 2 colleagues were extremely saddened, he said, adding: ""We are thinking of Ed's friends and family at this difficult time.""
Stewart's fellow DJ from his early days on pirate radio, Tony Blackburn, who also went on to Radio 1, said Stewart would be missed.
""A lovely guy, loved his golf and he loved playing the songs on Junior Choice.
""I think he'll probably be best remembered for Junior Choice because he did that programme, I think, particularly well.
""He was very, very good at that, and of course, on television.""
His former colleague and friend of 50 years, BBC DJ David Hamilton, said Stewart ""was a little bit like a good wine; he just got better as time went on"".
The DJ, also known by the nickname ""Diddy"", said he spoke to his old friend just a few days ago.
He said: ""We used to play football together in the showbiz football team, we even once rode in a speedway race together at Wembley Stadium, so we've done a lot of things together.
""He was a really good guy, Ed, and I really will miss him.""
His younger sister, Sue Mainwaring, 69, described him as hardworking, loyal and ""such a good brother"".
""We had such fun. When he was on the pirates [radio stations] he had two weeks on and one week off - of which every weekend he'd invite everybody back for jazz sessions. Celebs used to come along, including Kenny Everett, David Hamilton, Tony Brandon. He loved jazz. He loved music.""
She said she had spent Christmas and New Year with him and other members of the family.
Devon-born Stewart's broadcasting career spanned more than 50 years. He started out as an announcer, film critic and rugby reporter with Radio Hong Kong.
In an interview with the Express newspaper in 2014, he said he had returned to England five years later and joined pirate radio ship Radio London, based four miles off shore.
He was one of the first presenters on Radio 1 when it launched in 1967, and went on to become a regular Top of the Pops presenter in the 1970s.
He was a regular Radio 2 presenter for 15 years, and during that time broadcast from the summits of Ben Nevis and Snowdon, Mount Vesuvius volcano in Italy, and also live from the Falkland Islands.
On television, Stewart was best known for children's favourite Crackerjack. He hosted the show from 1973 to 1979.
He was also a longstanding presenter of children's show Junior Choice, which last broadcast on BBC Radio 2 over Christmas.
On it he coined his trademark catchphrase: '''Ello darling.""
In his sign-off at the end of his final programme, he thanked listeners, saying: ""I'll be with you whenever, but have a great Christmas Day, won't you, folks?""
Off air, he was a keen golfer and dedicated Everton FC fan.
On Twitter, TV presenter Noel Edmonds left heartfelt messages about the man he called his ""mentor"".
Edmonds joined BBC Radio 1 in 1969, taking over from the sacked Kenny Everett in 1970. At 21, he was the station's youngest DJ at the time.
""In '67 Ed Stewart heard a DJ audition tape, liked it, passed it to Kenny Everett and my career was born. Stewpot I owe you everything xN,"" he tweeted.
Former Radio 1 DJ and current Radio 2 broadcaster Simon Mayo wrote in a tweet: ""How sad to hear of the passing of Ed Stewart.  Junior Choice was always a radio classic"".
Celebrity astrologer Russell Grant tweeted: ""So sad to hear an old DJ colleague of mine Ed Stewart 'Stewpot' has passed over.
""I last worked with him on Radio Mercury. Happy memories.""
Coronation Street actor Les Dennis posted: ""Sad to hear Ed ""Stewpot"" Stewart has died. A great broadcaster and a nice man.""
Stewart is survived by his two children, Francesca and Marco, and four grandchildren.","Former BBC DJ Ed ""Stewpot"" Stewart has died at the age of 74, a few days after having a stroke, friends have said.",,,,,,,,,,,,,,,,,
"The phrase ""rapid rise through the ranks"" is a standard line in profiles of political leaders. But it's rarely as speedy as in Natalie Bennett's case.
The Australian-born former Guardian journalist woke up on New Year's Day 2006 and decided she wanted to do something to change the world.
After pondering her options (should she get involved with an NGO or the UN?) she joined the Green Party. Within six short years she had become its leader.
Three years after that she was sharing a stage with the prime minister and other party leaders in a televised general election debate.
Her sudden arrival on the frontline of British politics was all the more remarkable because she had never won an election, other than the one that had made her party leader.
Her first aim when she took on the job was to insert the Green Party - routinely ignored or patronised by the mainstream media - into the national conversation.
But when media outlets finally began calling, on the back of a surge in support for the party, she sometimes found it difficult to get her message across in a suitably snappy way.
Her vision for the party was to show how ""economic and environmental justice are indivisible"", she explains, ""the idea that tackling environmental problems isn't an add-on luxury"".
It was ""not a easy concept to get across"", she confesses. ""I still don't think I've got the 12 second soundbite. But I am going to keep working on it.""
""It's a classic Shakespearean thing,"" she says of her struggles with the broadcast media. ""It's both my strength and my weakness that I answer the question.""
But, she adds, ""when you get asked a stupid question, it's rather hard to know what to do at that point. And I guess I get tangled up in my desire to answer a question, even when it's a really stupid question"".
Did she get asked a lot of stupid questions?
""Yes.""
Asked for an example, she ponders for a minute, before highlighting an interview with the BBC's very own John Humphrys, which led to her having ""to spend time, valuable peak time, explaining how the interviewer got the question wrong. And listeners don't particularly like that because it's all technical and boring and you are arguing with the interviewer but if it's entirely on the wrong track you have to"".
She says she has some sympathy with Labour leader Jeremy Corbyn, who has also attracted criticism for broadcast interviews in which he has deviated from the usual prepared soundbites.
""The focus on the individual is a problem for British politics and it's very uncomfortable when the focus is on you,"" she says, arguing that the media in continental Europe are focused more on policies than personalities and trivia.
""I am not complaining - you have to work within those limits,"" she adds, but she believes British politics is ""broken"" and the media must take its share of the blame.
""There should be some pressure on the journalist to ask better, more sensible questions,"" she argues.
There was nothing particularly stupid about the question that prompted her darkest moment in a radio studio, however, when she struggled over several excruciating minutes, punctuated by coughing fits, to answer a question from LBC's Nick Ferrari on her party's housing policy.
She was quick to hold her hands up afterwards, apologising to supporters and blaming her sub-par performance, in the heat of the general election campaign, on ""brain freeze"".
""That was a very tough moment. And of course you take a bit of a punch to the stomach.
""But then a few weeks later I was up on the leader debates, able to look David Cameron in the eye and challenge him about his failure to welcome Syrian refugees to Britain, and that was one of the best moments.
""My great problem on that day was that I was in no way well enough to actually be doing anything. I'd had about three and a half hours sleep and I'd been throwing up most of the night. I should have just pulled the day but that's partly a function of how we got to that point.
""We weren't used to getting a lot of media attention and it was very, very hard to turn media attention down.""
One of Ms Bennett's proudest moments came at the end of the BBC leaders debate when she joined Plaid Cymru leader Leanne Wood and Scotland's First Minister Nicola Sturgeon in a ""group hug"", while Labour leader Ed Miliband looked on awkwardly.
This felt like a watershed moment for women in politics, she says, sending out the message ""that politics can not just be 'dog eat dog', it can be people agreeing on some things and disagreeing on others but supporting each other"".
As a lifelong feminist, she is particularly pleased to have been told by ""lots of young women"" that they had been inspired by the ""group hug"", which she stresses had not been planned in advance.
""I hope and think that that moment really, in 15 years' time, 20 years' time, we might see a whole crop of MPs down the road who will reference that moment as the time they decided they were going to try and get there.""
Ms Bennett's decision to pitch for the anti-austerity vote, positioning the Greens as a left-wing alternative to what was then Ed Miliband's Labour Party, struck a chord with idealistic young people who felt alienated by mainstream politics, and led to a surge in party membership.
But then Jeremy Corbyn came along and shifted Labour firmly to the left, inspiring idealistic activists to join his party in numbers the Greens could only dream about.
Hasn't the Green Party, which had a mixed set of results in May's elections, losing four councillors in England and failing to make progress in Wales but getting its best ever result in London, been crowded out of the picture by Labour?
Ms Bennett insists this is not the case, arguing that there is a ""very clear distinction"" between the Greens and Labour on a range of issues - from nuclear weapons to fracking - and that voters know exactly what they are getting when they vote Green.
But she is also open to the idea of a ""progressive alliance"" at the next general election, with local Green Parties potentially making electoral pacts with Labour, Plaid Cymru, the SNP or other parties who broadly share their outlook.
She remains a passionate advocate of electoral reform. The Green Party fielded a record number of general election candidates in 2015, standing in 93% of constituencies, and gaining more than a million votes. By rights, she argues, the party should have 25 MPs. She believes the case for scrapping what she sees as Britain's outdated first-past-the-post electoral system is gaining ground in the country.
She says she has had an ""amazing"" four years as leader, and has no regrets, believing the party is in better shape now, having quadrupled its membership and gained a foothold in the national debate on issues such as welfare and the economy, than when she took over.
But she is also keen to stress that she will not be leaving politics.
""I'm aiming to turn former leader into a role in its own right, to keep travelling the country, supporting local parties, doing media. Leadership is a role we can share around. It's not you become leader, that's the pinnacle, and then you disappear.""
Asked if she has any advice for the next leader, she says trust the party membership.
Anything else?
""Work out how to answer stupid questions,"" she laughs. ""I still don't quite know the answer to that one myself.""","As the Green Party of England and Wales prepares to unveil a replacement for Natalie Bennett, who is standing down after four years as leader, she reflects on life in the media spotlight - and what she plans to do next.",,,,,,,,,,,,,,,,,
