,document,summary
361,"With the game pointless, England hooker Hartley lashed out at Tigers' Matt Smith with just 17 minutes gone.
Tigers registered a penalty try, but after the break Alex Waller and Ben Foden went over for the champions and Niki Goneva scored two of his own.
But with three minutes left Jamie Elliott touched down to win an epic derby at Franklin's Gardens.
It was all in spite of Saints captain Hartley's indiscretion, the latest on a growing rap sheet throughout his career which will raise questions about his credentials to represent England, regardless of whether his inevitable ban stretches into next year's Six Nations.
With two separate brawls having broken out on the pitch, replays showed that Hartley's elbow connected with Smith's chin during a scuffle, and referee JP Doyle took the advice of the television match official to send off the 28-year-old.
After missing last year's British & Irish Lions tour of Australia with an 11-week ban after being dismissed for swearing at referee Wayne Barnes in the 2013 Premiership final - also against the Tigers - Hartley, by his own admission, was in the last chance saloon when it came to his England career.
The New Zealand-born forward, who rejected a big-money move to Montpellier to sign a new Saints deal this week, can also count a 26-week ban in 2007 for eye gouging and eight-week and two-week bans in 2012, for biting and striking respectively, among his misdemeanours.
With just 17 minutes having passed when he trudged off the field, Saints, like in the 2013 final, were once again without their captain and facing an uphill battle.
Immediately after Hartley's sending off, which inevitably overshadowed a typically ferocious East Midlands derby, things got worse for Saints who, still trying to regroup, conceded a penalty try for impeding three consecutive scrums.
Owen Williams slotted the conversion and Stephen Myler put over a penalty for Saints, before Tigers' Tom Croft was sin-binned moments before the break for a high tackle.
Myler collected the points off the tee and after the interval Saints capitalised on Croft's absence, pinning Tigers back into their 22 and freeing up Salesi Ma'afu to pass on to Waller for the score.
Tom Youngs, who may be eyeing up Hartley's place in Stuart Lancaster's England side, lasted less than 50 minutes as he continued his return from injury, but Tigers were able to reassert themselves when they were back up to their full quota.
Replacement Freddie Burns's break down the middle had Saints scrambling under their posts and Leicester quickly recycled as Goneva crossed after taking a pass from Williams, who skewed his conversion wide.
Fourteen-man Saints once again validated their status as champions and Premiership leaders, though, when Luther Burrell, who was a powerhouse all afternoon, burst forward, allowing the ball to go through the hands to Foden for a superb finish from 35 metres.
It looked like it might be to no avail as Tigers, unbeaten in four Premiership games coming into the match, turned it over in midfield through Julian Salvi and put Goneva over in the corner.
But, remarkably, Saints found time for one more push and, from a line-out, swept the ball across the pitch for Elliott to clinch an unlikely and thrilling victory.
Northampton Saints director of rugby Jim Mallinder:
Media playback is not supported on this device
""At half-time Tom Wood said 'let's do it for Dylan'.
""It was a tremendous, spirited performance. Not just relying on spirit and guts but also a lot of technical and tactical work.
""In terms of the red card it is disappointing. Dylan has to keep his arms down but he's being held and I don't think there is any malice in it. The nature of the game didn't justify a red card. I think Smith went down pretty easily, which was disappointing.
""I think the referee's initial decision of a yellow card would have been the correct decision.
""I thought Luther Burrell was outstanding. After 20 minutes we said we were still going to take them on and what we needed from Luther was to stay strong and on his feet and he did that brilliantly.""
Leicester Tigers director of rugby Richard Cockerill:
""I'm frustrated with how we managed that second half. We got what we deserved. You have to control that field position and get that forward pack into the right areas of the field so we can have opportunities to create attacks.
""We were defensively poor. We were too narrow. It will be interesting on Monday morning when we look back and see a side with one less back creating opportunities.
""Saints outplayed us. They took advantage of our naivety in defence. We seemed to go AWOL at times in defence.""
Northampton Saints: Wilson; K. Pisi, Stephenson, Burrell, North; Myler, Fotuali'i; A Waller, Hartley (capt), Ma'afu; Lawes, Day; Clark, Wood, Manoa.
Replacements: Haywood, E. Waller, Denman, Dickinson, Dowson, Dickson, Elliott, Foden.
Sent Off: Hartley (17).
Leicester Tigers: Tait; Scully, Smith, Allen, Goneva; Williams, B Youngs (capt); Ayerza, T Youngs, Cole, Kitchener, Parling; Croft, Salvi, Crane.
Replacements: Ghiraldini, Rizzo, Balmain, De Chaves, Barbieri, Harrison, Burns, Benjamin.
Sin Bin: Croft (39).
Att: 13,591
Ref: JP Doyle (RFU).",Dylan Hartley was sent off in the first half but Northampton edged to victory over East Midlands rivals Leicester.
362,"The Markit/CIPS services purchasing managers' index (PMI) stood at 52.6, down from August's 52.9, but above the 50 level which indicates expansion.
On Monday, the manufacturing sector recorded its best PMI for two years.
Markit said the latest findings cast doubt on the need for more stimulus action from the Bank of England.
The surveys, which are calculated by speaking to purchasing professionals and business decision-makers across a range of companies, are seen as an early indication of how the economy is performing, since they are released before official GDP data.
""The survey results suggest that the economy has regained modest growth momentum since the EU referendum, with especially strong growth appearing in manufacturing,"" said Markit's chief business economist Chris Williamson.
""The risk of recession in the second half of 2016 has therefore all but evaporated, and the solid PMI readings for September will cast doubt on the need for any further stimulus from the Bank of England in coming months.""
July's survey had shown a steep drop in business activity in the immediate wake of the referendum, but that started to recover in August. In addition, September's survey indicated that new business in services rose at the fastest pace since February and that the rate of job creation had picked up.
However, Mr Williamson pointed out that the pace of expansion had cooled since the beginning of the year, ""reflecting widespread concern about the potential future impact of Brexit"".
Official growth figures for the second quarter were revised up to 0.7% last week, by the Office for National Statistics (ONS), from an initial reading of 0.6%.
Pantheon Economics agreed that the Bank of England would probably refrain from cutting rates in November but predicted growth would continue to slow in the coming months, ""as firms hold back from hiring and investment due to 'hard' Brexit risk and households' real incomes are squeezed by rising inflation"".
The PMI survey showed that services firms reported the fastest rate of input price inflation since February 2013 in September, with providers subsequently raising their charges at the fastest rate since January 2014.
The services industry - which includes everything from financial advice to retailers - accounts for about three-quarters of the UK economy.","The UK services sector continued to recover last month, after a sharp drop in activity following the Brexit vote, according to a closely watched survey."
363,"A blue Citroen C3 hit a house near the Conrah Hotel on the A487 in Chancery at about 02:15 BST on Friday.
Firefighters had to cut three people free from the wreckage - one suffered minor injures, two serious.
Dyfed-Powys Police said the house was considerably damaged in the crash and a 24-year-old man has been arrested on suspicion of dangerous driving.
The road was closed for about three hours.","Three people have been injured, two seriously, after a car crashed into a house in Ceredigion."
364,"The Welsh government pays the majority of Welsh students' tuition fees, wherever they choose to go in the UK.
On Monday, Universities Wales will publish its manifesto ahead of next year's Assembly elections calling for the current tuition fee grant to be replaced by a means tested grant.
The Welsh government said its policy was an ""investment in young people"".
University Wales's chairman Prof Colin Riordan said means testing would be fairer.
He told BBC Wales' Sunday Politics programme: ""You could decide to spend the resource equally and thinly or you can say 'let's focus on the areas of most need' - so those people who come from disadvantaged backgrounds, perhaps, or areas which need support such as expensive subjects"".
Universities have long argued the grant means tens of millions of pounds leaves the higher education sector in Wales and goes to the coffers of their counterparts in England.
Prof Riordan added: ""Means testing would mean that those students who really need support would get it.
""Those who are more able to support themselves would be able to do that. That's surely fair.""
Earlier this month the UK government's Universities Minister Jo Johnson said institutions in England would be allowed to raise their fees in future if they can demonstrate a high quality of teaching.
But Prof Riordan said it ""would add cost to the tuition fee grant in ways that could become quite unsustainable"".
The tuition fee grant has faced criticism from many involved with Higher Education in Wales.
Earlier this year, the head of the body responsible for allocating funding to universities in Wales said the Welsh government needs to change how it funds students from Wales to avoid universities here falling behind their English counterparts.
In 2013, BBC Wales revealed the body representing universities here had concerns they were losing out compared to their counterparts in England because of the tuition fee grant.
BBC Wales has also revealed concerns expressed by the finance directors of universities in Wales that the grant left the sector ""with an uncertain financial future"".
In November 2013, the Welsh government announced a review of higher education funding and student finance arrangements in Wales, which is chaired by the Scottish academic, Professor Ian Diamond.
Prof Diamond will make some of his thoughts public later this year, with the full review expected to be published after the Assembly elections in May next year.
A Welsh government spokesperson said: ""Our tuition fee policy is an investment in young people.
""Over the course of a three year undergraduate degree, current students from Wales are around Â£17,000 better off than their English counterparts.
""The Diamond review of higher education and student finance in Wales is ongoing. Once published, it will inform the next steps for higher education funding in Wales.""","The way Welsh students are funded is unsustainable, the body representing universities in Wales has said."
365,"Channel 4 has also fined Glasspool an undisclosed sum which he will give to a domestic violence charity.
""I am truly sorry to anyone I have upset or offended,"" he said.
""I would never condone domestic violence in any way and on reflection see that my video was insensitive and inappropriate.""
The 24-year-old, who plays Harry Thompson, joined the soap to play student Harry last year and was nominated for best newcomer at this year's National Television Awards.
The clip was posted to the actor's Instagram account in June and featured him waving a knife in front of the camera.
He took on the role of a woman warning her boyfriend about talking to other girls, saying: ""I would kill you if you did... With this knife I know exactly how to.
""Done it before and I'll do it again so don't even think about it.""
The video has now been deleted.
A Hollyoaks spokesperson said: ""Parry Glasspool has apologised and will begin an immediate two-week suspension from Hollyoaks. He will also be donating a fee to a domestic violence charity.""
Follow us on Twitter @BBCNewsEnts, on Instagram, or email entertainment.news@bbc.co.uk.",Hollyoaks actor Parry Glasspool has been suspended after posting a video in which he mimicked a woman threatening to stab her boyfriend to death.
366,"In an emergency statement at Holyrood, he apologised to rail passengers who have been affected by disruption.
It came on the day commuters faced severe disruption after overhead wiring problems affected services in Glasgow.
ScotRail declared a major incident after finding a broken insulator between Partick and Glasgow Central.
The rail operator said the issue caused disruption and cancellations between Glasgow Central and Dalmuir, Milngavie and Maryhill.
There has been widespread criticism of the reliability of ScotRail trains since Abellio took over the franchise.
Abellio has said the terms of the contract meant government ministers were responsible for overcrowding on the network.
In the Scottish Parliament, Mr Yousaf admitted that ScotRail's performance was not ""up to scratch"" but he said it was higher than the UK average.
He also outlined a series of actions and investments Scotrail will make.
They include an earlier commuter service between Inverness and the central belt, which will begin in mid-December, and the addition of carriages to peak services on the Borders Railway in a bid to reduce overcrowding.
The minister said: ""Everyone rightly expects a railway network that operates effectively. So when things go wrong I fully understand the dissatisfaction of passengers and the inconvenience that is caused.
""Although there are no guarantees major failures won't happen, I give my reassurance that ScotRail has learned lessons and is far better prepared for contingencies, including communication with passengers, when such incidents do take place.""
He added: ""I know about the work that is required and the service that is to be delivered. I am taking action and a plan is now in place. This government has a track record of delivering for our railways and it is my firm intention that we will continue to do so.""
In his statement, Mr Yousaf also highlighted:
ScotRail was ordered to produce a performance improvement plan in September after punctuality and reliability fell below the expected standard.
At Holyrood, the minister faced calls to publish the plan in full from Liberal Democrat Mike Rumbles.
Mr Yousaf agreed to speak to ScotRail about its publication in the interests of ""accountability and transparency"".
Scottish Labour's transport spokesman Neil Bibby said the rail service has become worse since the improvement plan was demanded.
He added: ""His handling of the rail crisis has seen him fall out with Abellio, Network Rail and the transport unions.
""Humza Yousaf claims he's not a transport expert - and he's right. Humza Yousaf must ditch the spin and publish his 246 point improvement plan in full.""
Murdo Fraser, of the Scottish Conservatives, said it was time the government started taking responsibility for the railways' poor performance.
The latest performance data showed 86% of ScotRail trains were on time or less than five minutes late between 16 October and 12 November, with wide variations in reliability across the country.
ScotRail's figures remained better than the average for all UK train operators - with the company also enjoying better than average customer satisfaction figures when the latest data was published earlier this year.
But Abellio's contract to run the ScotRail franchise requires the company to ensure 91.3% of trains arrive within five minutes of schedule.
The Scottish government can cancel the contract if performance drops to 84.3% for three months in a row.","Transport Minister Humza Yousaf has told MSPs that ""ScotRail has learned lessons"" following a series of problems on Scotland's railways."
367,"Former France Under-21 international Amavi cost £7.7m when he joined Villa from Nice in July 2015 on a five-year deal.
The 23-year-old had looked set to move to Sevilla last month but that deal fell through.
Villa winger Leandro Bacuna is also on the verge of leaving the club, manager Steve Bruce confirmed on Wednesday.
Speaking to BBC WM 95.6 after his side's 2-1 EFL Cup win over Colchester, Bruce said: ""We've agreed a fee with Marseille [for Amavi].
""There's a Championship club after Bacuna, that looks close to being over the line too.""
Curacao international Bacuna, who can also play at right-back, has been with the club since 2013 and has scored eight goals in 129 appearances.
Find all the latest football transfers on our dedicated page.",Aston Villa left-back Jordan Amavi has signed for Marseille on loan with a view to a permanent move.
368,"Tim Robinson, 54, slipped while walking under Golden Cap, east of Lyme Regis on the Jurassic Coast on Saturday.
After crawling for three-quarters of a mile (1.2km), he was found by his wife who had become concerned for his welfare.
A coastguard statement said it was ""quite an ordeal"" for Mr Robinson.
The coastguard said Mr Robinson had been walking on rocks on the western end of the beach at about 16:30 GMT when he slipped and injured his leg.
With no means of calling for help, he dragged himself off the rocks back on to the beach and then crawled in the darkness towards Seatown.
He was eventually discovered by his wife who had gone to look for him and she raised the alarm. The couple, from the Derby area, were on holiday in Bridport.
The coastguard rescue team saw ""faint torch lights"" on the beach and crew from an RNLI lifeboat swam ashore to reach Mr Robinson.
With a rescue helicopter unavailable due to fog, he was transferred on to the lifeboat and taken to Lyme Regis from where he was taken by ambulance to hospital in Dorchester.
Mr Robinson, who is a full-time member of the Territorial Army, said: ""I just slipped on a rock and have two fractures of the right leg. Everyone who helped me was just terrific.""
RNLI helmsman Jon Broome said: ""His military background came to the fore. He found some sticks and used them to get to the beach. He then crawled on his hands and knees for a good two hours.
""The position he was in wasn't easy to get to. It was tricky, but you want to look after the guy as best as possible.""
The coastguard statement said people should take a fully charged smartphone when walking on the coast.",A man crawled and staggered with a broken leg for more than two hours after falling from rocks on the Dorset coast.
369,"The 7% rate was slower than the previous quarter's rate of 7.4%, but beat analysts' expectations of 6.4%.
Economists had expected the economy to suffer from the government's decision to withdraw high-denomination banknotes as part of an anti-corruption drive.
The federal statistics office retained its growth forecast for the year ending in March 2017 at 7.1%.
The figures surprised economists, who had expected the economy to take a bigger hit from Prime Minister Narendra Modi's decision last November to withdraw old 500-rupee and 1,000-rupee banknotes, taking 86% of the currency out of circulation virtually overnight.
""Perhaps this data is not capturing the impact of demonetisation,"" said Aneesh Srivastava, chief investment officer at IDBI Federal Life Insurance.
""I am totally surprised and stunned to see this number... I believe that, with a lag, we will see an impact on GDP numbers.""
Saugata Bhattacharya, a chief economist at Axis Bank, said ""big rises"" in agriculture and manufacturing ""show that the impact from demonetisation on growth has been less than expected"".
However, Rupa Rege Nitsure, chief economist at L&T Holdings, said the current year's growth ""appears to be overstated as our National Accounts Statistics does not adequately capture activities from the unorganised sector"".
""While the numbers make sense in terms of direction of change, their actual magnitude appears to be overstated,"" she said.
The so-called ""unorganised sector"" - made up of informal workers - is believed to account for about 40% of India's economy.","India's economic growth slowed in the December quarter of 2016, but the pace of expansion still beat expectations."
370,"Media playback is not supported on this device
Selby's IBF featherweight world title defence against Jonathan Victor Barros in Las Vegas was called off on Friday.
The Welshman has said Carl Frampton and Abner Mares, the regular WBA champion, could be future opponents.
""Selby's not really had that one big fight which can make him that name,"" Khan told BBC Wales Sport.
""I think beating someone like Abner Mares or someone like [Leo] Santa Cruz or Frampton would definitely take him to a different level.
""They're big names in the world of boxing and [some] have titles so, definitely by beating one of those big names, Selby would be right up there.
""I think Selby has the talent to do it. He's a prospect to keep an eye on in the future.""
Selby's third defence of his IBF world title was meant to take place on the undercard of Frampton's WBA featherweight title bout with Mexico's Leo Santa Cruz at the MGM Grand.
If he had beaten Barros, Selby was planning to challenge Frampton - with the Northern Irishman saying he would like the fight to take place at Belfast's Windsor Park.
Media playback is not supported on this device
The abandonment of Selby's fight against Barros could delay those plans but, whenever it may happen, it is a fight Khan would like to see materialise.
""I like Selby. Selby is a very good fighter. He's a world champion himself, having that IBF title,"" the 2004 Olympic lightweight silver medallist added.
""The fight between Santa Cruz and Frampton is for a world title so unifying it and to have it [a Selby-Frampton fight] in the UK would be massive.
""Two British fighters fighting for two world titles in the same division would be huge. I think that could happen in the future.""
The featherweight division is one of boxing's most competitive and open at the moment, and a bout between Selby and three-time world champion Mares would also excite Khan.
""It makes sense. Us fighters will fight anyone, whoever they put us in front of,"" he said.
""I think that Abner - I know him, I've trained with him - is a good fighter. I think that would be a good fight for Abner to have.
""And the winner of that could go on and fight the winner of the Frampton fight.""","Lee Selby needs a high-profile fight to take his career to the next level, according to former light-welterweight world champion Amir Khan."
371,"The 28-year-old, who has played 27 of Barcelona's 32 games this season, left the pitch on a stretcher in the eighth minute of the match following a challenge from Nicolas Escalante.
The club did not give a timeframe for the Spain international's return.
Barcelona are already without injured midfielder Andres Iniesta.
They host Real Sociedad on Thursday in the Copa del Rey quarter-final second leg, holding a 1-0 advantage from the first-leg.
Barcelona, who are third in La Liga, travel to Real Betis on Sunday and face Paris St-Germain on 14 February in the Champions League last 16.",Barcelona midfielder Sergio Busquets has been sidelined after spraining his right ankle in Sunday's 4-0 win at Eibar.
372,"George Calombaris, a MasterChef Australia judge, said the money would be repaid at ""the highest priority"".
His company, MAdE Establishment, said 162 current employees at its Melbourne eateries had already been repaid, and former employees were being contacted.
On average each staff member was owed more than A$16,000, the group said.
""I am sorry we have messed up and let you down on a fundamental issue, which is to ensure our people are paid their full entitlements,"" Mr Calombaris said in a statement to staff.
""I am devastated by what has happened and we have been working extremely hard to fix this.""
The company said the errors, dating back to 2011, were caused by miscalculating overtime pay rates.
Mr Calombaris said the group was first alerted to the issue in 2015 by Australia's Fair Work Ombudsman.
""Regrettably, our attention to detail at that time wasn't at a level it should have been,"" he said.
The underpayments affected staff at high-profile restaurants The Press Club, Gazi and Hellenic Republic.
Former staff have been encouraged to contact the company.",An Australian celebrity chef has apologised after his restaurant group underpaid staff A$2.6m (£1.6m; $2m).
373,"NHS Health Scotland found that a ban on multi-buy drinks promotions was among a number of successful initiatives.
However, it warned that more needed to be done to ensure the improvements continued, including the introduction of a minimum price for alcohol.
The report is the final review of the Scottish government's alcohol strategy, which was introduced in 2009.
Before then, high and increasing levels of alcohol consumption were closely linked to increasing alcohol harm.
Studies had shown that alcohol may have caused the deaths of one in 20 of the Scots who died in 2003.
And half of Scotland's prisoners said they were drunk when they committed their offence.
The government's ""framework for action"" outlined 41 steps to reduce alcohol consumption, and support families and communities.
A key policy - a minimum price for alcohol - has not been introduced because it is subject to a legal challenge by the Scotch Whisky Association.
Clare Beeston, from NHS Health Scotland, said the country continued to ""pay a heavy price"" for high levels of alcohol consumption.
She added: ""The picture has improved but levels of alcohol-related harm remain high - on average 22 people in Scotland die every week because of alcohol.""
She warned that the decline in alcohol consumption and harm may have slowed or stalled recently.
""We need to continue to push for the most effective ways to reduce the amount of alcohol Scotland drinks,"" she said.
""These are to reduce the affordability, availability and promotion of alcohol.
""A minimum unit price for alcohol is one of the best ways to reduce drinking in the heaviest drinkers and tackle the alcohol related health inequalities.""
The report highlighted the success of several parts of the strategy:
It also found that external factors, such as a fall in disposable income, were likely to have had an impact on alcohol trends.
Public Health Minister Maureen Watt said:  ""We have seen reductions in alcohol-related harm and this is of course welcome.
""However, harm rates are still higher than they were 20 years ago and higher than in England and Wales, so now is not the time to be complacent.""
She added: ""The report also recognises that a key element of the alcohol framework - minimum unit pricing - has yet to be implemented due to a legal challenge from parts of the alcohol industry and this has impacted on the progress made.
""Given the link between consumption and harm, and evidence that affordability is a key driver of increased consumption, addressing price is an important element of any long-term strategy to tackle alcohol misuse and, as such, we remain committed to introducing minimum unit pricing.""",A new report has found that government policies have had a positive impact on alcohol consumption in Scotland.
374,"Charlotte Foster, from Telford, died in January after a thrombosis caused a ""massive"" embolism in her lungs.
A GP who saw her three weeks before noted no signs of thrombosis.
Miss Foster's mother told the coroner the GP thought the problem was ""mechanical"" and recommended a massage.
The 23 year old died in hospital three days after collapsing at her workplace.
Celia Foster told the inquest at Shropshire Coroner's Court, her daughter had heart palpitations and had messaged her family on New Year's Eve to say her ribs hurt and that she could not lie down or breathe properly.
She said she accompanied her daughter to an appointment with GP Sunil Simon at his practice in Newport on 4 January.
She said her daughter was angry after the consultation, as he ""did not seem to listen to her"" and suggested she go for a massage or a spa day, despite her complaining of leg and back pain and tightness in her chest.
In his evidence to the hearing, Dr Simon said he had ""no concerns"" during the appointment that Miss Foster had been suffering from a pulmonary embolism.
""When I observed Miss Foster during that day, I did not note any signs of respiratory distress or shortness of breath. She did not display any signs of a pulmonary embolism of a deep vein thrombosis,"" he said.
Miss Foster went into cardiac arrest at work and died at Telford's Princess Royal Hospital on 25 January.
She had been given a three-month prescription of Dianette as a contraceptive and to combat acne in August 2015, having advised her GP of a family history of pulmonary embolism and breast cancer.
She then returned to see a different GP at her surgery in Newport in October and was given a continuing prescription for the drug, having reported no side effects.
Dr Nigel Tuft, a consultant at the Princess Royal Hospital, told the hearing that CT scans had shown she was not suffering from any tumours likely to have caused the pulmonary embolism.
He said he had multiple discussions with her family following her death, and had concluded her only risk factor was that she was taking the oral contraceptive.
Dr Tuft told the inquest: ""The most likely site for the pulmonary embolism to arise is in the veins of the pelvis and the upper leg. These can cause no symptoms whatsoever or they can cause symptoms or deep vein thrombosis.""
Shropshire coroner, John Ellery, is due to return his conclusion on Miss Foster's death next week.","A woman who died from a blood clot five months after taking the combined contraceptive pill, had reported breathing difficulties and leg pain to her GP, an inquest heard."
375,"Konstandinos Erik Scurfield, 25, from Barnsley, South Yorkshire, is thought to be the first British person killed fighting Islamic State extremists.
He is said to have gone to Syria because he was ""horrified by the atrocities being carried out"" there.
His family has paid tribute to his ""courage, conviction and honour"".
Mr Scurfield, an expert in battlefield medicine, is believed to have travelled to Syria three or four months ago.
Kurdish commander Redor Khalil said Mr Scurfield was killed on Monday while fighting alongside Kurdish forces in the frontline village of Tel Khuzela.
In a statement, his family said: ""We are devastated to confirm the death of our son Konstandinos Erik Scurfield in Syria where he went to support the forces opposing Islamic State.
""His flame might have burned briefly but it burned brightly with love, courage, conviction and honour and we are very proud of him.""
The family's friends and neighbours described news of Mr Scurfield's death as ""heartbreaking"".
""It doesn't surprise me that he went because he seemed to do everything 100% and he seemed to have deep feelings. He was very conscientious, he was a lovely person,"" neighbour Mary Jane Hemmings said.
""He was a very strong-willed man, I would say, and he knew what he was about. I am sure he knew what he was doing.""
The family's local MP Dan Jarvis said they had approached him a few weeks ago worried about their son's safety.
""Erik was an experienced former Royal Marine who was horrified by the atrocities being carried out by Isis [Islamic State],"" he said.
""His family's understanding was that he travelled to Syria hoping to provide medical and humanitarian support as an expert in battlefield medicine.""
by Guney Yildiz, BBC Newshour
Kurdish military sources in north-eastern Syria told me that Mr Scurfield was killed when the armoured vehicle he was in was hit by a missile launched by the Islamic State militants.
The special mobile guerrilla unit which Mr Scurfield was part of came under attack during an offensive against IS to recapture areas around Til Hamis town in Hasakah province.
Kurdish Popular Protection Units (YPG) forces have recovered his body along with other casualties, and brought the body to Derik, a town in north-eastern corner of Syria, close to Iraqi border.
He joined the YPG, a secular group that has proven to be very effective against IS in Syria and Iraq, on 7 December. The Kurdish sources say that in a video, which is not publicly available yet, Mr Scurfield says he ""joined the YPG to fight against IS"".
Mr Jarvis, who is Labour MP for Barnsley Central, called on the government to monitor all British citizens who travel to Iraq and Syria to join the fight against IS.
""There have been several reports of other British civilians doing the same thing, but the government confirmed when I recently raised this issue in Parliament that there is currently no system to monitor or record people going to the region with the aim of joining the fight against Isis,"" he said.
""I wrote to the Foreign Office regarding this issue some weeks ago and will be now following up that letter.""
In a statement, the Foreign Office said: ""The UK has advised for some time against all travel to Syria, where all UK consular services are suspended.
""As we do not have any representation in Syria it is extremely difficult to get any confirmation of deaths or injuries and our options for supporting British nationals there are extremely limited.""
The Home Office says there are about 600 people in the region ""of interest"" but have not given a breakdown of what groups they may be associated with.
The BBC understands about 100 Western volunteers - including some Britons - are fighting with the 30,000-strong Kurdish forces.
More than 500 Britons are believed to have travelled to join IS.
BBC security correspondent Frank Gardner said the UK government's position was ""probably going to lead to accusations of double standards"".
He said if Britons went to Syria and were suspected of trying to join IS they would get their ""collar felt at Heathrow"" - but there ""seems to be a silence about people going to fight on the other side"".","The family of an ex-Royal Marine killed while fighting with Kurdish forces in Syria have paid tribute, saying his flame burned ""briefly but brightly""."
376,"Morrisons had agreed to rent the 73,000 sq ft store but the site developer said its lawyers were now attempting to ""terminate the agreement"".
Augur Buchler Partners (ABP) Ltd said it had received notice from Morrisons on 16 December and the matter was ""being dealt with by our lawyers"".
Morrisons has so far declined to comment on their plans for the site.
On Tuesday, the supermarket giant said its chief executive was to leave after five years in charge, and it would be closing 10 loss-making stores during 2015.
Cheltenham Borough Council, which sold the land to ABP in 2011, had wanted to develop the car park since 2008 with previous ideas including a new library, flats, homes and retail space.
But the plans were put on hold due to the recession.
Councillor Andrew McKinlay, cabinet member responsible for built environment, said the latest setback was ""certainly disappointing news"".
He added: ""It's important to say at this stage we're not going to do anything too quickly because, until the dust settles and we know exactly what the situation is, I think it would be unwise.
""Clearly, we need to get the Morrisons legal situation resolved before we can move forward on any other potential plans.""
The construction of the £60m redevelopment was originally expected to be completed in late 2015.
The council's pay-and-display car park was shut last year and work has already begun to dig up the ground.",A major project to redevelop a Cheltenham town centre car park into a new supermarket has been suspended.
377,"Goals from Rhys Browne, Danny Whittaker and Jack Mackreth did the job for the Silkmen, who move to within six points of the top five, with five games left to play.
They needed only 58 seconds to get the ball rolling as Browne drove home from the edge of the area, with Whitaker, Chris Holroyd and John McCombe all having good chances to extend their lead before the break.
Moments after Macclesfield goalkeeper Craig Ross made a double save from Joe Piggot and Yemi Odoubade, the hosts made the game safe with two goals in the final four minutes.
Whittaker finally got on the scoresheet when he converted from the spot in the 86th minute and then Mackreth added a third by finishing a fine counter-attacking move.
Report supplied by the Press Association.
Match ends, Macclesfield Town 3, Maidstone United 0.
Second Half ends, Macclesfield Town 3, Maidstone United 0.
Goal!  Macclesfield Town 3, Maidstone United 0. Jack Mackreth (Macclesfield Town).
Substitution, Maidstone United. George Oakley replaces Bobby-Joe Taylor.
Goal!  Macclesfield Town 2, Maidstone United 0. Danny Whitaker (Macclesfield Town) converts the penalty with a.
Bobby-Joe Taylor (Maidstone United) is shown the yellow card.
Substitution, Macclesfield Town. Luke Summerfield replaces Danny Whitehead.
Tom Mills (Maidstone United) is shown the yellow card.
Substitution, Maidstone United. Jamar Loza replaces Alex Flisher.
Substitution, Maidstone United. Yemi Odubade replaces Jack Paxman.
Second Half begins Macclesfield Town 1, Maidstone United 0.
First Half ends, Macclesfield Town 1, Maidstone United 0.
Goal!  Macclesfield Town 1, Maidstone United 0. Rhys Browne (Macclesfield Town).
First Half begins.
Lineups are announced and players are warming up.",Macclesfield kept their National League play-off hopes alive with an easy 3-0 win over Maidstone.
378,"Jonathan Dowdall was on trial with his father, Patrick, who was jailed for eight years for his role in the attack.
The victim, Alexander Hurley, had come to Jonathan Dowdall's Dublin home to buy a motorcycle in January 2015 when he was tortured.
The attack was filmed on a mobile phone and played in court.
Mr Hurley was filmed tied to a chair in the Dowdalls' garage as Jonathan Dowdall, who was wearing a balaclava, put a tea towel on his face and poured buckets of water over him.
Patrick Dowdall took out pliers and threatened to pull off the victim's fingers, starting with the smallest.
The victim is heard pleading for his life as the Dowdalls threatened to chop him up and feed him to the dogs.
He was tied with cable ties and told ""one more twist and you're dead"".
It is believed Dowdall and his father believed the victim was a fraudster after researching him online.
The victim said he was tortured to the point of ""death's door"" and in a statement said the psychological injuries would never completely heal.
The court heard that he was also told he was ""stupid"" to ""mess with the IRA"" and that Jonathan Dowdall was a good friend of the party's president Gerry Adams and his deputy, Mary Lou McDonald.
The Special Criminal Court said it could not see how Mr Dowdall's friendships could form a threat, Irish national broadcaster RTE reported.
Ms McDonald welcomed Jonathan Dowdall's conviction last month, and said he had left the party ""some years ago"".","An ex-Sinn Féin councillor has been sentenced to 12 years in prison for interrogating, threatening and waterboarding a man in January 2015."
